,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace_x,w_df,w_svpt,w_1stIn_x,w_1stWon_x,w_2ndWon_x,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,w_1stIn_y,w_1stWon_y,w_2ndWon_y,w_ace_y,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,label,Unnamed: 0.1
805,1362,319.0,2019-M007,Miami Masters,Hard,128.0,M,20190318.0,291.0,200000.0,,Q,Felix Auger Aliassime,R,193.0,CAN,18.6,105932.0,17.0,,Nikoloz Basilashvili,R,185.0,GEO,27.0,7-6(4) 6-4,3.0,R16,96.0,13.0,4.0,73.0,45.0,35.0,13.0,11.0,6.0,8.0,4.0,8.0,64.0,25.0,17.0,23.0,11.0,2.0,5.0,57.0,876.0,19.0,1865.0,20190326-M-Miami_Masters-R16-Felix_Auger_Aliassime-Nikoloz_Basilashvili,7,10,8,9,73,25,45,35,13,13,7,1,13,6,64,24,1.0,43236.0
806,1370,320.0,2019-0410,Monte Carlo Masters,Clay,64.0,M,20190415.0,247.0,200000.0,,WC,Felix Auger Aliassime,R,193.0,CAN,18.6,106228.0,,Q,Juan Ignacio Londero,R,180.0,ARG,25.6,7-5 7-6(5),3.0,R64,118.0,5.0,5.0,73.0,43.0,38.0,14.0,12.0,2.0,4.0,1.0,4.0,92.0,45.0,31.0,22.0,12.0,6.0,9.0,33.0,1245.0,79.0,697.0,20190416-M-Monte_Carlo_Masters-R64-Felix_Auger_Aliassime-Juan_Ignacio_Londero,11,4,17,8,73,21,43,38,14,4,14,8,11,11,92,39,1.0,43428.0
807,1372,321.0,2019-0410,Monte Carlo Masters,Clay,64.0,M,20190415.0,300.0,104926.0,13.0,,Fabio Fognini,R,178.0,ITA,31.8,105583.0,,,Dusan Lajovic,R,180.0,SRB,28.7,6-3 6-4,3.0,F,98.0,0.0,2.0,65.0,41.0,23.0,18.0,10.0,2.0,4.0,1.0,3.0,60.0,37.0,22.0,10.0,9.0,1.0,5.0,18.0,1885.0,48.0,950.0,20190421-M-Monte_Carlo_Masters-F-Fabio_Fognini-Dusan_Lajovic,8,6,19,14,65,24,41,23,18,0,13,6,17,11,60,28,1.0,43380.0
808,1377,322.0,2019-7648,Budapest,Clay,32.0,A,20190422.0,283.0,105379.0,,,Aljaz Bedene,R,181.0,SLO,29.7,106071.0,,,Bernard Tomic,R,193.0,AUS,26.4,7-6(5) 6-4,3.0,R32,99.0,7.0,4.0,72.0,35.0,26.0,22.0,11.0,2.0,4.0,4.0,2.0,90.0,54.0,32.0,18.0,11.0,4.0,7.0,74.0,755.0,77.0,724.0,20190422-M-Budapest-R32-Aljaz_Bedene-Bernard_Tomic,12,4,13,15,72,24,35,26,22,7,17,6,10,11,90,40,1.0,43498.0
809,1378,323.0,2007-421,Canada Masters,Hard,56.0,M,20070805.0,5.0,103720.0,,,Lleyton Hewitt,R,180.0,AUS,26.4,103507.0,,,Juan Carlos Ferrero,R,183.0,ESP,27.4,7-6(5) 6-4,3.0,R64,108.0,6.0,5.0,69.0,42.0,33.0,15.0,11.0,1.0,2.0,7.0,0.0,79.0,52.0,35.0,15.0,11.0,5.0,7.0,21.0,1180.0,17.0,1525.0,20070806-M-Canada_Masters-R64-Lleyton_Hewitt-Juan_Carlos_Ferrero,11,6,13,12,69,21,42,33,15,6,12,7,10,9,79,29,1.0,7886.0
810,1380,324.0,2019-0425,Barcelona,Clay,64.0,A,20190422.0,293.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,32.8,103970.0,,WC,David Ferrer,R,175.0,ESP,37.0,6-3 6-3,3.0,R16,116.0,0.0,1.0,61.0,43.0,28.0,10.0,9.0,4.0,5.0,2.0,5.0,67.0,42.0,24.0,13.0,9.0,8.0,12.0,2.0,8085.0,155.0,355.0,20190425-M-Barcelona-R16-Rafael_Nadal-David_Ferrer,8,14,10,18,61,23,44,28,10,0,15,5,11,8,67,30,1.0,43442.0
811,1381,325.0,2019-0425,Barcelona,Clay,64.0,A,20190422.0,285.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,32.8,104919.0,,,Leonardo Mayer,R,188.0,ARG,31.9,6-7(7) 6-4 6-2,3.0,R32,169.0,1.0,2.0,91.0,59.0,41.0,22.0,15.0,2.0,3.0,4.0,4.0,104.0,62.0,36.0,27.0,15.0,3.0,7.0,2.0,8085.0,63.0,850.0,20190424-M-Barcelona-R16-Rafael_Nadal-Leonardo_Mayer,17,5,28,17,91,28,59,41,22,1,13,6,20,19,104,41,1.0,43450.0
812,1382,326.0,2019-0425,Barcelona,Clay,64.0,A,20190422.0,240.0,104269.0,,,Fernando Verdasco,L,188.0,ESP,35.4,103852.0,,WC,Feliciano Lopez,L,188.0,ESP,37.5,6-4 6-3,3.0,R64,81.0,2.0,3.0,64.0,47.0,33.0,9.0,10.0,2.0,3.0,5.0,3.0,50.0,22.0,13.0,16.0,9.0,2.0,5.0,37.0,1155.0,93.0,630.0,20190422-M-Barcelona-R64-Fernando_Verdasco-Feliciano_Lopez,6,6,16,10,64,22,47,33,9,2,6,6,9,7,50,21,1.0,43480.0
813,1385,327.0,2019-0410,Monte Carlo Masters,Clay,64.0,M,20190415.0,294.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,32.8,105550.0,,,Guido Pella,L,185.0,ARG,28.9,7-6(1) 6-3,3.0,QF,140.0,4.0,3.0,73.0,48.0,28.0,11.0,10.0,8.0,13.0,1.0,4.0,89.0,58.0,27.0,13.0,11.0,6.0,13.0,2.0,8725.0,35.0,1205.0,20190419-M-Monte_Carlo_Masters-QF-Rafael_Nadal-Guido_Pella,21,5,14,14,73,34,48,28,11,4,20,11,17,11,89,49,1.0,43386.0
814,1387,328.0,2015-338,Sydney,Hard,28.0,A,20150111.0,5.0,105668.0,,,Jerzy Janowicz,R,203.0,POL,24.1,106401.0,,,Nick Kyrgios,R,193.0,AUS,19.7,6-1 6-7(6) 7-6(5),3.0,R32,122.0,14.0,6.0,113.0,77.0,64.0,20.0,16.0,5.0,5.0,17.0,1.0,99.0,66.0,50.0,22.0,15.0,2.0,4.0,42.0,915.0,50.0,830.0,20150113-M-Sydney-R32-Jerzy_Janowicz-Nick_Kyrgios,16,6,12,5,113,29,77,64,20,13,21,11,19,12,99,27,1.0,30919.0
815,1388,329.0,2018-0407,Rotterdam,Hard,32.0,A,20180212.0,282.0,134868.0,,WC,Tallon Griekspoor,R,188.0,NED,21.6,104527.0,5.0,,Stan Wawrinka,R,183.0,SUI,32.8,4-6 6-3 6-2,3.0,R32,88.0,2.0,0.0,68.0,47.0,39.0,14.0,14.0,0.0,1.0,7.0,2.0,78.0,39.0,29.0,20.0,13.0,5.0,8.0,259.0,197.0,13.0,2475.0,20180213-M-Rotterdam-R32-Tallon_Griekspoor-Stan_Wawrinka,8,4,24,15,68,15,47,39,14,2,16,1,15,8,78,29,1.0,40150.0
