,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
19259,20210902-M-US_Open-R64-Reilly_Opelka-Lorenzo_Musetti,Reilly Opelka,Total,25,42,6,34,0,20210902,M,US_Open,R64
19263,20210902-M-US_Open-R64-Reilly_Opelka-Lorenzo_Musetti,Lorenzo Musetti,Total,21,69,12,14,0,20210902,M,US_Open,R64
19267,20220212-M-Dallas-SF-Jenson_Brooksby-Marcos_Giron,Jenson Brooksby,Total,246,64,70,50,1,20220212,M,Dallas,SF
19271,20220212-M-Dallas-SF-Jenson_Brooksby-Marcos_Giron,Marcos Giron,Total,204,85,53,60,17,20220212,M,Dallas,SF
19275,20220305-M-Davis_Cup_Qualifiers-RR-Robin_Haase-Steven_Diez,Robin Haase,Total,36,16,18,20,4,20220305,M,Davis_Cup_Qualifiers,RR
19279,20220305-M-Davis_Cup_Qualifiers-RR-Robin_Haase-Steven_Diez,Steven Diez,Total,41,19,16,14,4,20220305,M,Davis_Cup_Qualifiers,RR
19283,20220310-M-Indian_Wells_Masters-R128-Sebastian_Baez-Nick_Kyrgios,Sebastian Baez,Total,81,46,21,21,2,20220310,M,Indian_Wells_Masters,R128
19287,20220310-M-Indian_Wells_Masters-R128-Sebastian_Baez-Nick_Kyrgios,Nick Kyrgios,Total,65,47,19,25,1,20220310,M,Indian_Wells_Masters,R128
19291,20120905-M-US_Open-QF-Tomas_Berdych-Roger_Federer,Tomas Berdych,Total,86,58,30,25,8,20120905,M,US_Open,QF
19295,20120905-M-US_Open-QF-Tomas_Berdych-Roger_Federer,Roger Federer,Total,96,46,27,52,13,20120905,M,US_Open,QF
19299,20220313-M-Indian_Wells_Masters-R64-Felix_Auger_Aliassime-Botic_Van_De_Zandschulp,Felix Auger Aliassime,Total,126,75,20,84,18,20220313,M,Indian_Wells_Masters,R64
19303,20220313-M-Indian_Wells_Masters-R64-Felix_Auger_Aliassime-Botic_Van_De_Zandschulp,Botic Van De Zandschulp,Total,152,94,21,32,4,20220313,M,Indian_Wells_Masters,R64
19307,20010705-M-Wimbledon-QF-Roger_Federer-Tim_Henman,Roger Federer,Total,25,28,22,9,2,20010705,M,Wimbledon,QF
19311,20010705-M-Wimbledon-QF-Roger_Federer-Tim_Henman,Tim Henman,Total,34,10,9,9,1,20010705,M,Wimbledon,QF
19315,20220312-M-Indian_Wells_Masters-R64-Reilly_Opelka-Lorenzo_Musetti,Reilly Opelka,Total,28,28,2,24,1,20220312,M,Indian_Wells_Masters,R64
19319,20220312-M-Indian_Wells_Masters-R64-Reilly_Opelka-Lorenzo_Musetti,Lorenzo Musetti,Total,18,51,1,9,1,20220312,M,Indian_Wells_Masters,R64
19323,20220316-M-Indian_Wells_Masters-R16-Hubert_Hurkacz-Andrey_Rublev,Hubert Hurkacz,Total,49,46,7,31,2,20220316,M,Indian_Wells_Masters,R16
19327,20220316-M-Indian_Wells_Masters-R16-Hubert_Hurkacz-Andrey_Rublev,Andrey Rublev,Total,48,53,13,25,2,20220316,M,Indian_Wells_Masters,R16
19331,20220315-M-Indian_Wells_Masters-R32-Casper_Ruud-Nick_Kyrgios,Casper Ruud,Total,36,62,6,22,1,20220315,M,Indian_Wells_Masters,R32
19335,20220315-M-Indian_Wells_Masters-R32-Casper_Ruud-Nick_Kyrgios,Nick Kyrgios,Total,38,62,5,22,0,20220315,M,Indian_Wells_Masters,R32
19339,20220316-M-Indian_Wells_Masters-R32-Andrey_Rublev-Frances_Tiafoe,Andrey Rublev,Total,24,62,4,17,0,20220316,M,Indian_Wells_Masters,R32
19343,20220316-M-Indian_Wells_Masters-R32-Andrey_Rublev-Frances_Tiafoe,Frances Tiafoe,Total,30,59,2,9,0,20220316,M,Indian_Wells_Masters,R32
19347,20220119-M-Australian_Open-R64-Pablo_Carreno_Busta-Tallon_Griekspoor,Pablo Carreno Busta,Total,184,118,20,42,5,20220119,M,Australian_Open,R64
19351,20220119-M-Australian_Open-R64-Pablo_Carreno_Busta-Tallon_Griekspoor,Tallon Griekspoor,Total,180,94,17,67,21,20220119,M,Australian_Open,R64
19355,20220314-M-Indian_Wells_Masters-R32-Gael_Monfils-Daniil_Medvedev,Gael Monfils,Total,133,104,30,52,11,20220314,M,Indian_Wells_Masters,R32
19359,20220314-M-Indian_Wells_Masters-R32-Gael_Monfils-Daniil_Medvedev,Daniil Medvedev,Total,198,56,37,32,4,20220314,M,Indian_Wells_Masters,R32
19363,20000607-M-Wimbledon-R128-Roger_Federer-Yevgeny_Kafelnikov,Roger Federer,Total,39,22,23,11,4,20000607,M,Wimbledon,R128
19367,20000607-M-Wimbledon-R128-Roger_Federer-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,32,13,10,10,0,20000607,M,Wimbledon,R128
19371,20220320-M-Indian_Wells_Masters-F-Rafael_Nadal-Taylor_Fritz,Rafael Nadal,Total,106,97,33,44,2,20220320,M,Indian_Wells_Masters,F
19375,20220320-M-Indian_Wells_Masters-F-Rafael_Nadal-Taylor_Fritz,Taylor Fritz,Total,120,105,23,24,2,20220320,M,Indian_Wells_Masters,F
19379,20210831-M-US_Open-R128-Roberto_Bautista_Agut-Nick_Kyrgios,Roberto Bautista Agut,Total,54,114,5,27,0,20210831,M,US_Open,R128
19383,20210831-M-US_Open-R128-Roberto_Bautista_Agut-Nick_Kyrgios,Nick Kyrgios,Total,57,86,11,34,0,20210831,M,US_Open,R128
19387,20220318-M-Indian_Wells_Masters-QF-Grigor_Dimitrov-Andrey_Rublev,Grigor Dimitrov,Total,37,101,13,50,1,20220318,M,Indian_Wells_Masters,QF
19391,20220318-M-Indian_Wells_Masters-QF-Grigor_Dimitrov-Andrey_Rublev,Andrey Rublev,Total,55,85,14,40,0,20220318,M,Indian_Wells_Masters,QF
19395,19860817-M-Canada_Masters-F-Stefan_Edberg-Boris_Becker,Stefan Edberg,Total,53,13,19,6,0,19860817,M,Canada_Masters,F
19399,19860817-M-Canada_Masters-F-Stefan_Edberg-Boris_Becker,Boris Becker,Total,46,9,16,6,0,19860817,M,Canada_Masters,F
19403,20220317-M-Indian_Wells_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Gael Monfils,Total,31,75,5,17,1,20220317,M,Indian_Wells_Masters,R16
19407,20220317-M-Indian_Wells_Masters-R16-Gael_Monfils-Carlos_Alcaraz,Carlos Alcaraz,Total,40,53,6,22,0,20220317,M,Indian_Wells_Masters,R16
19411,20220314-M-Indian_Wells_Masters-R32-Roberto_Bautista_Agut-Carlos_Alcaraz,Roberto Bautista Agut,Total,47,62,8,33,1,20220314,M,Indian_Wells_Masters,R32
19415,20220314-M-Indian_Wells_Masters-R32-Roberto_Bautista_Agut-Carlos_Alcaraz,Carlos Alcaraz,Total,37,75,10,27,0,20220314,M,Indian_Wells_Masters,R32
19419,20220323-M-Miami_Masters-R128-Tallon_Griekspoor-Francisco_Cerundolo,Tallon Griekspoor,Total,82,30,25,27,7,20220323,M,Miami_Masters,R128
19423,20220323-M-Miami_Masters-R128-Tallon_Griekspoor-Francisco_Cerundolo,Francisco Cerundolo,Total,75,43,22,23,7,20220323,M,Miami_Masters,R128
19427,20220325-M-Miami_Masters-R64-Nick_Kyrgios-Andrey_Rublev,Nick Kyrgios,Total,38,30,2,9,1,20220325,M,Miami_Masters,R64
19431,20220325-M-Miami_Masters-R64-Nick_Kyrgios-Andrey_Rublev,Andrey Rublev,Total,23,37,8,14,0,20220325,M,Miami_Masters,R64
19435,20220327-M-Miami_Masters-R32-Fabio_Fognini-Nick_Kyrgios,Fabio Fognini,Total,44,57,3,10,0,20220327,M,Miami_Masters,R32
19439,20220327-M-Miami_Masters-R32-Fabio_Fognini-Nick_Kyrgios,Nick Kyrgios,Total,35,44,6,14,0,20220327,M,Miami_Masters,R32
19443,20220319-M-Indian_Wells_Masters-SF-Rafael_Nadal-Carlos_Alcaraz,Rafael Nadal,Total,141,85,48,56,7,20220319,M,Indian_Wells_Masters,SF
19447,20220319-M-Indian_Wells_Masters-SF-Rafael_Nadal-Carlos_Alcaraz,Carlos Alcaraz,Total,152,95,43,44,9,20220319,M,Indian_Wells_Masters,SF
19451,20220329-M-Miami_Masters-R16-Stefanos_Tsitsipas-Carlos_Alcaraz,Stefanos Tsitsipas,Total,86,41,23,27,5,20220329,M,Miami_Masters,R16
19455,20220329-M-Miami_Masters-R16-Stefanos_Tsitsipas-Carlos_Alcaraz,Carlos Alcaraz,Total,66,35,36,38,4,20220329,M,Miami_Masters,R16
19459,20220319-M-Indian_Wells_Masters-SF-Taylor_Fritz-Andrey_Rublev,Taylor Fritz,Total,111,47,28,18,4,20220319,M,Indian_Wells_Masters,SF
19463,20220319-M-Indian_Wells_Masters-SF-Taylor_Fritz-Andrey_Rublev,Andrey Rublev,Total,100,54,32,38,4,20220319,M,Indian_Wells_Masters,SF
19467,20220330-M-Miami_Masters-QF-Francisco_Cerundolo-Jannik_Sinner,Francisco Cerundolo,Total,15,11,5,7,1,20220330,M,Miami_Masters,QF
19471,20220330-M-Miami_Masters-QF-Francisco_Cerundolo-Jannik_Sinner,Jannik Sinner,Total,20,5,2,5,0,20220330,M,Miami_Masters,QF
19475,20220331-M-Miami_Masters-QF-Miomir_Kecmanovic-Carlos_Alcaraz,Miomir Kecmanovic,Total,124,49,29,27,6,20220331,M,Miami_Masters,QF
19479,20220331-M-Miami_Masters-QF-Miomir_Kecmanovic-Carlos_Alcaraz,Carlos Alcaraz,Total,112,54,35,24,9,20220331,M,Miami_Masters,QF
19483,20220327-M-Miami_Masters-R32-Pablo_Carreno_Busta-Jannik_Sinner,Pablo Carreno Busta,Total,207,112,34,50,5,20220327,M,Miami_Masters,R32
19487,20220327-M-Miami_Masters-R32-Pablo_Carreno_Busta-Jannik_Sinner,Jannik Sinner,Total,190,147,30,47,9,20220327,M,Miami_Masters,R32
19491,20040613-M-Queens_Club-F-Sebastien_Grosjean-Andy_Roddick,Sebastien Grosjean,Total,64,16,30,37,7,20040613,M,Queens_Club,F
19495,20040613-M-Queens_Club-F-Sebastien_Grosjean-Andy_Roddick,Andy Roddick,Total,70,13,14,25,11,20040613,M,Queens_Club,F
19499,20220208-M-Buenos_Aires-R32-Federico_Delbonis-Juan_Martin_Del_Potro,Federico Delbonis,Total,67,44,22,14,1,20220208,M,Buenos_Aires,R32
19503,20220208-M-Buenos_Aires-R32-Federico_Delbonis-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,73,27,20,32,2,20220208,M,Buenos_Aires,R32
19507,20220326-M-Miami_Masters-R64-Andy_Murray-Daniil_Medvedev,Andy Murray,Total,56,109,20,24,0,20220326,M,Miami_Masters,R64
19511,20220326-M-Miami_Masters-R64-Andy_Murray-Daniil_Medvedev,Daniil Medvedev,Total,79,90,12,31,1,20220326,M,Miami_Masters,R64
19515,20220331-M-Miami_Masters-QF-Hubert_Hurkacz-Daniil_Medvedev,Hubert Hurkacz,Total,78,62,24,26,7,20220331,M,Miami_Masters,QF
19519,20220331-M-Miami_Masters-QF-Hubert_Hurkacz-Daniil_Medvedev,Daniil Medvedev,Total,95,72,26,27,1,20220331,M,Miami_Masters,QF
19523,20060705-M-Wimbledon-QF-Mario_Ancic-Roger_Federer,Mario Ancic,Total,0,0,0,0,0,20060705,M,Wimbledon,QF
19524,20060705-M-Wimbledon-QF-Mario_Ancic-Roger_Federer,Roger Federer,Total,0,0,0,0,0,20060705,M,Wimbledon,QF
19525,20040529-M-Roland_Garros-R32-Roger_Federer-Gustavo_Kuerten,Roger Federer,Total,100,67,22,29,8,20040529,M,Roland_Garros,R32
19529,20040529-M-Roland_Garros-R32-Roger_Federer-Gustavo_Kuerten,Gustavo Kuerten,Total,115,48,37,31,4,20040529,M,Roland_Garros,R32
19533,20130505-M-Roland_Garros-QF-Jo_Wilfried_Tsonga-Roger_Federer,Jo Wilfried Tsonga,Total,101,38,18,37,8,20130505,M,Roland_Garros,QF
19537,20130505-M-Roland_Garros-QF-Jo_Wilfried_Tsonga-Roger_Federer,Roger Federer,Total,87,48,19,46,13,20130505,M,Roland_Garros,QF
19541,20220403-M-Miami_Masters-F-Casper_Ruud-Carlos_Alcaraz,Casper Ruud,Total,63,24,20,25,8,20220403,M,Miami_Masters,F
19545,20220403-M-Miami_Masters-F-Casper_Ruud-Carlos_Alcaraz,Carlos Alcaraz,Total,58,20,17,27,8,20220403,M,Miami_Masters,F
19549,20220329-M-Miami_Masters-R16-Jannik_Sinner-Nick_Kyrgios,Jannik Sinner,Total,49,95,11,24,0,20220329,M,Miami_Masters,R16
19553,20220329-M-Miami_Masters-R16-Jannik_Sinner-Nick_Kyrgios,Nick Kyrgios,Total,60,89,5,25,0,20220329,M,Miami_Masters,R16
19557,20220329-M-Miami_Masters-R16-Daniil_Medvedev-Jenson_Brooksby,Daniil Medvedev,Total,60,121,7,26,0,20220329,M,Miami_Masters,R16
19561,20220329-M-Miami_Masters-R16-Daniil_Medvedev-Jenson_Brooksby,Jenson Brooksby,Total,63,113,16,33,0,20220329,M,Miami_Masters,R16
