,match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in,tourney_date,sm,tourney_name,sm2
6293,20160123-M-Australian_Open-R32-Stan_Wawrinka-Lukas_Rosol,Stan Wawrinka,Total,49,48,18,20,0,20160123,M,Australian_Open,R32
6297,20160123-M-Australian_Open-R32-Stan_Wawrinka-Lukas_Rosol,Lukas Rosol,Total,54,39,18,23,1,20160123,M,Australian_Open,R32
6301,19890611-M-Roland_Garros-F-Michael_Chang-Stefan_Edberg,Michael Chang,Total,244,256,47,55,0,19890611,M,Roland_Garros,F
6305,19890611-M-Roland_Garros-F-Michael_Chang-Stefan_Edberg,Stefan Edberg,Total,215,227,40,41,0,19890611,M,Roland_Garros,F
6309,20120121-M-Australian_Open-R32-Michael_Llodra-Andy_Murray,Michael Llodra,Total,51,18,28,9,0,20120121,M,Australian_Open,R32
6313,20120121-M-Australian_Open-R32-Michael_Llodra-Andy_Murray,Andy Murray,Total,80,17,31,21,8,20120121,M,Australian_Open,R32
6317,20040801-M-Canada_Masters-F-Roger_Federer-Andy_Roddick,Roger Federer,Total,72,81,7,22,2,20040801,M,Canada_Masters,F
6321,20040801-M-Canada_Masters-F-Roger_Federer-Andy_Roddick,Andy Roddick,Total,73,72,10,35,4,20040801,M,Canada_Masters,F
6325,19850825-M-Cincinnati-F-Mats_Wilander-Boris_Becker,Mats Wilander,Total,48,10,34,6,0,19850825,M,Cincinnati,F
6329,19850825-M-Cincinnati-F-Mats_Wilander-Boris_Becker,Boris Becker,Total,49,6,12,8,5,19850825,M,Cincinnati,F
6333,20050815-M-Canada_Masters-F-Rafael_Nadal-Andre_Agassi,Rafael Nadal,Total,134,65,50,15,10,20050815,M,Canada_Masters,F
6337,20050815-M-Canada_Masters-F-Rafael_Nadal-Andre_Agassi,Andre Agassi,Total,191,26,42,19,7,20050815,M,Canada_Masters,F
6341,20101017-M-Shanghai_Masters-F-Roger_Federer-Andy_Murray,Roger Federer,Total,77,84,12,36,3,20101017,M,Shanghai_Masters,F
6345,20101017-M-Shanghai_Masters-F-Roger_Federer-Andy_Murray,Andy Murray,Total,71,90,12,27,0,20101017,M,Shanghai_Masters,F
6349,20161016-M-Shanghai_Masters-F-Roberto_Bautista_Agut-Andy_Murray,Roberto Bautista Agut,Total,67,107,11,31,5,20161016,M,Shanghai_Masters,F
6353,20161016-M-Shanghai_Masters-F-Roberto_Bautista_Agut-Andy_Murray,Andy Murray,Total,90,86,13,34,0,20161016,M,Shanghai_Masters,F
6357,20030330-M-Miami_Masters-F-Andre_Agassi-Carlos_Moya,Andre Agassi,Total,73,16,32,14,1,20030330,M,Miami_Masters,F
6361,20030330-M-Miami_Masters-F-Andre_Agassi-Carlos_Moya,Carlos Moya,Total,70,17,34,22,2,20030330,M,Miami_Masters,F
6365,20110821-M-Cincinnati_Masters-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,87,24,30,40,8,20110821,M,Cincinnati_Masters,F
6369,20110821-M-Cincinnati_Masters-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,93,33,27,13,0,20110821,M,Cincinnati_Masters,F
6373,20161101-M-Charlottesville_CH-R32-Denis_Kudla-Tommy_Paul,Denis Kudla,Total,34,31,12,17,1,20161101,M,Charlottesville_CH,R32
6377,20161101-M-Charlottesville_CH-R32-Denis_Kudla-Tommy_Paul,Tommy Paul,Total,53,29,12,9,2,20161101,M,Charlottesville_CH,R32
6381,20161101-M-Charlottesville_CH-R32-Peter_Polansky-Noah_Rubin,Peter Polansky,Total,60,26,13,6,2,20161101,M,Charlottesville_CH,R32
6385,20161101-M-Charlottesville_CH-R32-Peter_Polansky-Noah_Rubin,Noah Rubin,Total,62,18,13,19,2,20161101,M,Charlottesville_CH,R32
6389,20160804-M-Granby_CH-R16-Gregoire_Barrere-Denis_Shapovalov,Gregoire Barrere,Total,29,19,7,10,0,20160804,M,Granby_CH,R16
6393,20160804-M-Granby_CH-R16-Gregoire_Barrere-Denis_Shapovalov,Denis Shapovalov,Total,31,12,5,6,3,20160804,M,Granby_CH,R16
6397,20160413-M-Monte_Carlo_Masters-R32-Rafael_Nadal-Aljaz_Bedene,Rafael Nadal,Total,94,26,31,28,7,20160413,M,Monte_Carlo_Masters,R32
6401,20160413-M-Monte_Carlo_Masters-R32-Rafael_Nadal-Aljaz_Bedene,Aljaz Bedene,Total,70,50,27,29,9,20160413,M,Monte_Carlo_Masters,R32
6405,20160730-M-Canada_Masters-SF-Novak_Djokovic-Gael_Monfils,Novak Djokovic,Total,92,31,30,31,5,20160730,M,Canada_Masters,SF
6409,20160730-M-Canada_Masters-SF-Novak_Djokovic-Gael_Monfils,Gael Monfils,Total,91,50,24,18,1,20160730,M,Canada_Masters,SF
6413,20161106-M-Paris_Masters-F-Andy_Murray-John_Isner,Andy Murray,Total,58,72,10,37,0,20161106,M,Paris_Masters,F
6417,20161106-M-Paris_Masters-F-Andy_Murray-John_Isner,John Isner,Total,39,72,8,23,1,20161106,M,Paris_Masters,F
6421,19881202-M-Masters_Cup-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,196,50,88,49,2,19881202,M,Masters_Cup,F
6425,19881202-M-Masters_Cup-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,212,72,74,73,7,19881202,M,Masters_Cup,F
6429,20140101-M-Brisbane-R16-Matthew_Ebden-Kei_Nishikori,Matthew Ebden,Total,27,34,5,9,0,20140101,M,Brisbane,R16
6433,20140101-M-Brisbane-R16-Matthew_Ebden-Kei_Nishikori,Kei Nishikori,Total,34,26,8,12,1,20140101,M,Brisbane,R16
6436,20160108-M-Brisbane-QF-Roger_Federer-Grigor_Dimitrov,Roger Federer,Total,44,70,9,26,0,20160108,M,Brisbane,QF
6440,20160108-M-Brisbane-QF-Roger_Federer-Grigor_Dimitrov,Grigor Dimitrov,Total,54,66,13,28,1,20160108,M,Brisbane,QF
6444,20140101-M-Brisbane-R16-Jarkko_Nieminen-Roger_Federer,Jarkko Nieminen,Total,26,43,17,24,0,20140101,M,Brisbane,R16
6448,20140101-M-Brisbane-R16-Jarkko_Nieminen-Roger_Federer,Roger Federer,Total,41,34,6,24,2,20140101,M,Brisbane,R16
6452,20161126-M-Andria_CH-SF-Egor_Gerasimov-Matteo_Berrettini,Egor Gerasimov,Total,55,21,12,16,2,20161126,M,Andria_CH,SF
6456,20161126-M-Andria_CH-SF-Egor_Gerasimov-Matteo_Berrettini,Matteo Berrettini,Total,57,27,13,17,2,20161126,M,Andria_CH,SF
6460,20040613-M-Halle-F-Roger_Federer-Mardy_Fish,Roger Federer,Total,33,52,5,7,0,20040613,M,Halle,F
6464,20040613-M-Halle-F-Roger_Federer-Mardy_Fish,Mardy Fish,Total,32,41,4,18,1,20040613,M,Halle,F
6468,20060813-M-Canada_Masters-F-Roger_Federer-Richard_Gasquet,Roger Federer,Total,84,108,13,41,2,20060813,M,Canada_Masters,F
6472,20060813-M-Canada_Masters-F-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,98,103,8,27,1,20060813,M,Canada_Masters,F
6476,20070819-M-Cincinnati_Masters-F-Roger_Federer-James_Blake,Roger Federer,Total,31,48,6,16,2,20070819,M,Cincinnati_Masters,F
6480,20070819-M-Cincinnati_Masters-F-Roger_Federer-James_Blake,James Blake,Total,33,37,11,19,1,20070819,M,Cincinnati_Masters,F
6484,20090531-M-Roland_Garros-R16-Robin_Soderling-Rafael_Nadal,Robin Soderling,Total,177,153,70,90,8,20090531,M,Roland_Garros,R16
6488,20090531-M-Roland_Garros-R16-Robin_Soderling-Rafael_Nadal,Rafael Nadal,Total,174,167,47,62,8,20090531,M,Roland_Garros,R16
6492,20150813-M-Canada_Masters-R16-Novak_Djokovic-Jack_Sock,Novak Djokovic,Total,46,39,13,17,2,20150813,M,Canada_Masters,R16
6496,20150813-M-Canada_Masters-R16-Novak_Djokovic-Jack_Sock,Jack Sock,Total,41,33,7,31,2,20150813,M,Canada_Masters,R16
6500,20150815-M-Canada_Masters-SF-Andy_Murray-Kei_Nishikori,Andy Murray,Total,46,28,7,13,0,20150815,M,Canada_Masters,SF
6504,20150815-M-Canada_Masters-SF-Andy_Murray-Kei_Nishikori,Kei Nishikori,Total,49,24,14,16,2,20150815,M,Canada_Masters,SF
6508,20150816-M-Canada_Masters-F-Andy_Murray-Novak_Djokovic,Andy Murray,Total,160,75,29,68,5,20150816,M,Canada_Masters,F
6512,20150816-M-Canada_Masters-F-Andy_Murray-Novak_Djokovic,Novak Djokovic,Total,136,110,39,50,1,20150816,M,Canada_Masters,F
6516,20160506-M-Madrid_Masters-QF-Andy_Murray-Tomas_Berdych,Andy Murray,Total,52,36,10,6,0,20160506,M,Madrid_Masters,QF
6520,20160506-M-Madrid_Masters-QF-Andy_Murray-Tomas_Berdych,Tomas Berdych,Total,52,36,17,24,4,20160506,M,Madrid_Masters,QF
6524,20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,202,213,51,100,4,20130607,M,Roland_Garros,SF
6528,20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,179,223,65,86,8,20130607,M,Roland_Garros,SF
6532,19960609-M-Roland_Garros-F-Michael_Stich-Yevgeny_Kafelnikov,Michael Stich,Total,133,62,46,36,3,19960609,M,Roland_Garros,F
6536,19960609-M-Roland_Garros-F-Michael_Stich-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,176,59,39,30,1,19960609,M,Roland_Garros,F
6540,19980607-M-Roland_Garros-F-Alex_Corretja-Carlos_Moya,Alex Corretja,Total,154,55,42,50,9,19980607,M,Roland_Garros,F
6544,19980607-M-Roland_Garros-F-Alex_Corretja-Carlos_Moya,Carlos Moya,Total,111,80,35,59,19,19980607,M,Roland_Garros,F
6548,20140529-M-Roland_Garros-R64-Rafael_Nadal-Dominic_Thiem,Rafael Nadal,Total,135,68,51,36,11,20140529,M,Roland_Garros,R64
6552,20140529-M-Roland_Garros-R64-Rafael_Nadal-Dominic_Thiem,Dominic Thiem,Total,133,75,38,39,9,20140529,M,Roland_Garros,R64
6556,20060514-M-Rome_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,280,97,150,47,57,20060514,M,Rome_Masters,F
6560,20060514-M-Rome_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,312,62,151,71,36,20060514,M,Rome_Masters,F
6564,20090605-M-Roland_Garros-SF-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,133,91,48,51,13,20090605,M,Roland_Garros,SF
6568,20090605-M-Roland_Garros-SF-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,162,75,43,72,1,20090605,M,Roland_Garros,SF
6572,20060319-M-Indian_Wells_Masters-F-Roger_Federer-James_Blake,Roger Federer,Total,71,57,19,35,4,20060319,M,Indian_Wells_Masters,F
6576,20060319-M-Indian_Wells_Masters-F-Roger_Federer-James_Blake,James Blake,Total,71,56,11,41,4,20060319,M,Indian_Wells_Masters,F
6580,20100821-M-Cincinnati_Masters-F-Mardy_Fish-Roger_Federer,Mardy Fish,Total,78,87,17,23,1,20100821,M,Cincinnati_Masters,F
6584,20100821-M-Cincinnati_Masters-F-Mardy_Fish-Roger_Federer,Roger Federer,Total,76,73,17,41,4,20100821,M,Cincinnati_Masters,F
6588,20061022-M-Madrid_Masters-F-Roger_Federer-Fernando_Gonzalez,Roger Federer,Total,60,76,10,20,3,20061022,M,Madrid_Masters,F
6592,20061022-M-Madrid_Masters-F-Roger_Federer-Fernando_Gonzalez,Fernando Gonzalez,Total,62,57,8,41,5,20061022,M,Madrid_Masters,F
6596,20050127-M-Australian_Open-SF-Roger_Federer-Marat_Safin,Roger Federer,Total,166,103,68,40,9,20050127,M,Australian_Open,SF
6600,20050127-M-Australian_Open-SF-Roger_Federer-Marat_Safin,Marat Safin,Total,239,75,57,54,4,20050127,M,Australian_Open,SF
6604,20160607-M-Stuttgart-R32-Viktor_Troicki-Florian_Mayer,Viktor Troicki,Total,32,13,19,10,0,20160607,M,Stuttgart,R32
6608,20160607-M-Stuttgart-R32-Viktor_Troicki-Florian_Mayer,Florian Mayer,Total,33,17,10,7,0,20160607,M,Stuttgart,R32
6612,20130921-M-Metz-SF-Jo_Wilfried_Tsonga-Florian_Mayer,Jo Wilfried Tsonga,Total,87,28,34,32,7,20130921,M,Metz,SF
6616,20130921-M-Metz-SF-Jo_Wilfried_Tsonga-Florian_Mayer,Florian Mayer,Total,107,24,23,15,1,20130921,M,Metz,SF
6620,20170102-M-Doha-R32-Vasek_Pospisil-Fernando_Verdasco,Vasek Pospisil,Total,33,48,6,14,0,20170102,M,Doha,R32
6624,20170102-M-Doha-R32-Vasek_Pospisil-Fernando_Verdasco,Fernando Verdasco,Total,43,30,13,25,1,20170102,M,Doha,R32
6628,20150526-M-Roland_Garros-R128-Richard_Gasquet-Germain_Gigounon,Richard Gasquet,Total,119,51,34,39,1,20150526,M,Roland_Garros,R128
6632,20150526-M-Roland_Garros-R128-Richard_Gasquet-Germain_Gigounon,Germain Gigounon,Total,129,74,26,23,3,20150526,M,Roland_Garros,R128
6636,20101024-M-Stockholm-F-Roger_Federer-Florian_Mayer,Roger Federer,Total,71,25,23,13,5,20101024,M,Stockholm,F
6640,20101024-M-Stockholm-F-Roger_Federer-Florian_Mayer,Florian Mayer,Total,61,21,19,13,2,20101024,M,Stockholm,F
6644,20170104-M-Doha-R16-Jo_Wilfried_Tsonga-Dustin_Brown,Jo Wilfried Tsonga,Total,28,6,11,4,4,20170104,M,Doha,R16
6648,20170104-M-Doha-R16-Jo_Wilfried_Tsonga-Dustin_Brown,Dustin Brown,Total,30,5,10,8,2,20170104,M,Doha,R16
6652,20040516-M-Hamburg_Masters-F-Roger_Federer-Guillermo_Coria,Roger Federer,Total,101,107,12,32,7,20040516,M,Hamburg_Masters,F
6656,20040516-M-Hamburg_Masters-F-Roger_Federer-Guillermo_Coria,Guillermo Coria,Total,93,93,18,47,3,20040516,M,Hamburg_Masters,F
6660,20170107-M-Doha-F-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,217,112,102,49,11,20170107,M,Doha,F
6664,20170107-M-Doha-F-Novak_Djokovic-Andy_Murray,Andy Murray,Total,283,80,53,61,2,20170107,M,Doha,F
6668,20170112-M-Auckland-QF-Steve_Johnson-John_Isner,Steve Johnson,Total,48,26,14,23,3,20170112,M,Auckland,QF
6672,20170112-M-Auckland-QF-Steve_Johnson-John_Isner,John Isner,Total,26,19,17,34,3,20170112,M,Auckland,QF
6676,20101121-M-Tour_Finals-RR-Andy_Roddick-Rafael_Nadal,Andy Roddick,Total,129,50,38,31,3,20101121,M,Tour_Finals,RR
6680,20101121-M-Tour_Finals-RR-Andy_Roddick-Rafael_Nadal,Rafael Nadal,Total,126,56,59,26,20,20101121,M,Tour_Finals,RR
6684,20121012-M-Shanghai_Masters-SF-Roger_Federer-Andy_Murray,Roger Federer,Total,58,34,12,21,4,20121012,M,Shanghai_Masters,SF
6688,20121012-M-Shanghai_Masters-SF-Roger_Federer-Andy_Murray,Andy Murray,Total,70,24,16,25,2,20121012,M,Shanghai_Masters,SF
6692,20160304-M-Davis_Cup_World_Group_R1-RR-Frank_Dancevic-Gael_Monfils,Frank Dancevic,Total,61,13,22,19,6,20160304,M,Davis_Cup_World_Group_R1,RR
6696,20160304-M-Davis_Cup_World_Group_R1-RR-Frank_Dancevic-Gael_Monfils,Gael Monfils,Total,63,13,26,13,2,20160304,M,Davis_Cup_World_Group_R1,RR
6700,20111111-M-Paris_Masters-QF-Roger_Federer-Juan_Monaco,Roger Federer,Total,91,41,13,32,4,20111111,M,Paris_Masters,QF
6704,20111111-M-Paris_Masters-QF-Roger_Federer-Juan_Monaco,Juan Monaco,Total,62,44,21,38,11,20111111,M,Paris_Masters,QF
6708,20070520-M-Hamburg_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,91,112,35,48,6,20070520,M,Hamburg_Masters,F
6712,20070520-M-Hamburg_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,128,101,28,34,4,20070520,M,Hamburg_Masters,F
6716,20170118-M-Australian_Open-R64-Nick_Kyrgios-Andreas_Seppi,Nick Kyrgios,Total,163,89,43,87,5,20170118,M,Australian_Open,R64
6720,20170118-M-Australian_Open-R64-Nick_Kyrgios-Andreas_Seppi,Andreas Seppi,Total,170,145,37,49,3,20170118,M,Australian_Open,R64
6724,20110123-M-Australian_Open-R16-Robin_Soderling-Alexandr_Dolgopolov,Robin Soderling,Total,145,65,68,72,7,20110123,M,Australian_Open,R16
6728,20110123-M-Australian_Open-R16-Robin_Soderling-Alexandr_Dolgopolov,Alexandr Dolgopolov,Total,178,60,37,32,5,20110123,M,Australian_Open,R16
6732,20170122-M-Australian_Open-R16-Roger_Federer-Kei_Nishikori,Roger Federer,Total,93,74,42,38,9,20170122,M,Australian_Open,R16
6736,20170122-M-Australian_Open-R16-Roger_Federer-Kei_Nishikori,Kei Nishikori,Total,127,57,40,42,1,20170122,M,Australian_Open,R16
6740,20040328-M-Miami_Masters-R32-Roger_Federer-Rafael_Nadal,Roger Federer,Total,61,41,20,11,5,20040328,M,Miami_Masters,R32
6744,20040328-M-Miami_Masters-R32-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,69,29,20,20,6,20040328,M,Miami_Masters,R32
6748,20050601-M-Roland_Garros-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,151,101,68,61,13,20050601,M,Roland_Garros,SF
6752,20050601-M-Roland_Garros-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,196,102,43,54,12,20050601,M,Roland_Garros,SF
6756,20170121-M-Australian_Open-R32-Milos_Raonic-Gilles_Simon,Milos Raonic,Total,77,29,21,64,4,20170121,M,Australian_Open,R32
6760,20170121-M-Australian_Open-R32-Milos_Raonic-Gilles_Simon,Gilles Simon,Total,92,52,45,41,2,20170121,M,Australian_Open,R32
6764,20090323-M-Indian_Wells_Masters-F-Rafael_Nadal-Andy_Murray,Rafael Nadal,Total,130,63,20,31,6,20090323,M,Indian_Wells_Masters,F
6768,20090323-M-Indian_Wells_Masters-F-Rafael_Nadal-Andy_Murray,Andy Murray,Total,116,64,40,25,1,20090323,M,Indian_Wells_Masters,F
6772,20160724-M-Washington-F-Gael_Monfils-Ivo_Karlovic,Gael Monfils,Total,21,10,15,15,0,20160724,M,Washington,F
6775,20160724-M-Washington-F-Gael_Monfils-Ivo_Karlovic,Ivo Karlovic,Total,17,7,5,8,2,20160724,M,Washington,F
6779,20160720-M-Washington-R32-Taylor_Fritz-Alexander_Zverev,Taylor Fritz,Total,47,43,8,16,0,20160720,M,Washington,R32
6783,20160720-M-Washington-R32-Taylor_Fritz-Alexander_Zverev,Alexander Zverev,Total,46,29,15,23,0,20160720,M,Washington,R32
6787,20170124-M-Australian_Open-QF-Milos_Raonic-Rafael_Nadal,Milos Raonic,Total,78,36,35,46,14,20170124,M,Australian_Open,QF
6791,20170124-M-Australian_Open-QF-Milos_Raonic-Rafael_Nadal,Rafael Nadal,Total,87,50,41,32,7,20170124,M,Australian_Open,QF
6795,20170120-M-Australian_Open-R32-Tomas_Berdych-Roger_Federer,Tomas Berdych,Total,34,34,9,21,2,20170120,M,Australian_Open,R32
6799,20170120-M-Australian_Open-R32-Tomas_Berdych-Roger_Federer,Roger Federer,Total,46,38,11,17,3,20170120,M,Australian_Open,R32
6803,20170206-M-Davis_Cup_World_Group_R1-RR-Kyle_Edmund-Denis_Shapovalov,Kyle Edmund,Total,29,20,13,17,3,20170206,M,Davis_Cup_World_Group_R1,RR
6807,20170206-M-Davis_Cup_World_Group_R1-RR-Kyle_Edmund-Denis_Shapovalov,Denis Shapovalov,Total,30,23,9,15,2,20170206,M,Davis_Cup_World_Group_R1,RR
6811,20100815-M-Canada_Masters-SF-Roger_Federer-Novak_Djokovic,Roger Federer,Total,109,63,30,28,6,20100815,M,Canada_Masters,SF
6815,20100815-M-Canada_Masters-SF-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,118,48,34,52,8,20100815,M,Canada_Masters,SF
6819,20160919-M-Metz-F-Lucas_Pouille-Dominic_Thiem,Lucas Pouille,Total,25,31,8,19,4,20160919,M,Metz,F
6823,20160919-M-Metz-F-Lucas_Pouille-Dominic_Thiem,Dominic Thiem,Total,31,32,12,24,6,20160919,M,Metz,F
6827,20080726-M-Canada_Masters-SF-Andy_Murray-Rafael_Nadal,Andy Murray,Total,135,52,51,21,0,20080726,M,Canada_Masters,SF
6831,20080726-M-Canada_Masters-SF-Andy_Murray-Rafael_Nadal,Rafael Nadal,Total,132,51,27,38,12,20080726,M,Canada_Masters,SF
6835,20121008-M-Shanghai_Masters-R16-Roger_Federer-Stan_Wawrinka,Roger Federer,Total,61,46,26,31,5,20121008,M,Shanghai_Masters,R16
6839,20121008-M-Shanghai_Masters-R16-Roger_Federer-Stan_Wawrinka,Stan Wawrinka,Total,79,42,24,20,0,20121008,M,Shanghai_Masters,R16
6843,20170211-M-San_Francisco_CH-SF-Vasek_Pospisil-Michael_Mmoh,Vasek Pospisil,Total,43,24,14,17,2,20170211,M,San_Francisco_CH,SF
6847,20170211-M-San_Francisco_CH-SF-Vasek_Pospisil-Michael_Mmoh,Michael Mmoh,Total,40,29,11,18,0,20170211,M,San_Francisco_CH,SF
6851,20080606-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,196,91,71,57,2,20080606,M,Roland_Garros,SF
6855,20080606-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,184,80,84,45,20,20080606,M,Roland_Garros,SF
6859,20060423-M-Monte_Carlo_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,183,213,45,85,14,20060423,M,Monte_Carlo_Masters,F
6863,20060423-M-Monte_Carlo_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,244,189,34,56,9,20060423,M,Monte_Carlo_Masters,F
6867,20170126-M-Australian_Open-SF-Roger_Federer-Stan_Wawrinka,Roger Federer,Total,102,79,25,43,4,20170126,M,Australian_Open,SF
6871,20170126-M-Australian_Open-SF-Roger_Federer-Stan_Wawrinka,Stan Wawrinka,Total,139,71,28,31,5,20170126,M,Australian_Open,SF
6875,20080511-M-Hamburg_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,133,130,42,34,11,20080511,M,Hamburg_Masters,F
6879,20080511-M-Hamburg_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,176,97,33,40,15,20080511,M,Hamburg_Masters,F
6883,20021110-M-Paris_Masters-F-Marat_Safin-Lleyton_Hewitt,Marat Safin,Total,164,60,37,27,2,20021110,M,Paris_Masters,F
6887,20021110-M-Paris_Masters-F-Marat_Safin-Lleyton_Hewitt,Lleyton Hewitt,Total,178,68,35,27,4,20021110,M,Paris_Masters,F
6891,20130224-M-Memphis-F-Feliciano_Lopez-Kei_Nishikori,Feliciano Lopez,Total,65,28,15,7,0,20130224,M,Memphis,F
6895,20130224-M-Memphis-F-Feliciano_Lopez-Kei_Nishikori,Kei Nishikori,Total,67,15,35,17,1,20130224,M,Memphis,F
6899,20170216-M-Cherbourg_CH-R16-Axel_Michon-Peter_Gojowczyk,Axel Michon,Total,55,22,7,10,0,20170216,M,Cherbourg_CH,R16
6903,20170216-M-Cherbourg_CH-R16-Axel_Michon-Peter_Gojowczyk,Peter Gojowczyk,Total,45,17,19,12,1,20170216,M,Cherbourg_CH,R16
6907,20151118-M-Tour_Finals-RR-Rafael_Nadal-Andy_Murray,Rafael Nadal,Total,108,49,24,25,4,20151118,M,Tour_Finals,RR
6911,20151118-M-Tour_Finals-RR-Rafael_Nadal-Andy_Murray,Andy Murray,Total,120,28,42,19,0,20151118,M,Tour_Finals,RR
6915,20080420-M-Monte_Carlo_Masters-F-Rafael_Nadal-Roger_Federer,Rafael Nadal,Total,138,71,21,23,13,20080420,M,Monte_Carlo_Masters,F
6919,20080420-M-Monte_Carlo_Masters-F-Rafael_Nadal-Roger_Federer,Roger Federer,Total,90,83,35,34,18,20080420,M,Monte_Carlo_Masters,F
6923,20030316-M-Indian_Wells_Masters-F-Lleyton_Hewitt-Gustavo_Kuerten,Lleyton Hewitt,Total,84,13,18,17,6,20030316,M,Indian_Wells_Masters,F
6927,20030316-M-Indian_Wells_Masters-F-Lleyton_Hewitt-Gustavo_Kuerten,Gustavo Kuerten,Total,93,9,25,17,3,20030316,M,Indian_Wells_Masters,F
6931,20070415-M-Monte_Carlo_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,76,79,30,23,6,20070415,M,Monte_Carlo_Masters,F
6935,20070415-M-Monte_Carlo_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,103,68,19,22,10,20070415,M,Monte_Carlo_Masters,F
6939,20170219-M-Buenos_Aires-F-Alexandr_Dolgopolov-Kei_Nishikori,Alexandr Dolgopolov,Total,69,40,22,18,2,20170219,M,Buenos_Aires,F
6943,20170219-M-Buenos_Aires-F-Alexandr_Dolgopolov-Kei_Nishikori,Kei Nishikori,Total,70,35,23,18,2,20170219,M,Buenos_Aires,F
6947,20150517-M-Rome_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,49,25,12,17,0,20150517,M,Rome_Masters,F
6951,20150517-M-Rome_Masters-F-Novak_Djokovic-Roger_Federer,Roger Federer,Total,46,28,14,13,0,20150517,M,Rome_Masters,F
6955,20161017-M-Stockholm-F-Jack_Sock-Juan_Martin_Del_Potro,Jack Sock,Total,29,29,6,34,9,20161017,M,Stockholm,F
6959,20161017-M-Stockholm-F-Jack_Sock-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,58,16,8,19,6,20161017,M,Stockholm,F
6963,20170127-M-Australian_Open-SF-Rafael_Nadal-Grigor_Dimitrov,Rafael Nadal,Total,328,120,95,61,19,20170127,M,Australian_Open,SF
6967,20170127-M-Australian_Open-SF-Rafael_Nadal-Grigor_Dimitrov,Grigor Dimitrov,Total,258,134,104,92,28,20170127,M,Australian_Open,SF
6971,20050403-M-Miami_Masters-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,183,137,48,77,8,20050403,M,Miami_Masters,F
6975,20050403-M-Miami_Masters-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,199,181,39,51,10,20050403,M,Miami_Masters,F
6979,20080127-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,153,49,29,29,2,20080127,M,Australian_Open,SF
6983,20080127-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,142,56,39,24,5,20080127,M,Australian_Open,SF
6987,19901104-M-Paris_Masters-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,10,0,6,4,2,19901104,M,Paris_Masters,F
6991,19901104-M-Paris_Masters-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,15,2,6,0,0,19901104,M,Paris_Masters,F
6995,20110507-M-Madrid_Masters-SF-Roger_Federer-Rafael_Nadal,Roger Federer,Total,120,66,34,31,12,20110507,M,Madrid_Masters,SF
6999,20110507-M-Madrid_Masters-SF-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,118,74,31,23,8,20110507,M,Madrid_Masters,SF
7003,20070608-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,144,70,67,68,3,20070608,M,Roland_Garros,SF
7007,20070608-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,152,77,47,41,17,20070608,M,Roland_Garros,SF
