,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
43821,19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl,Stefan Edberg,Total,81,28,66,28,66,28,0,441,19871025,M,Tokyo_Indoor,F
43842,19871025-M-Tokyo_Indoor-F-Stefan_Edberg-Ivan_Lendl,Ivan Lendl,Total,80,22,47,19,46,19,3,205,19871025,M,Tokyo_Indoor,F
43863,19940313-M-Miami_Masters-F-Andre_Agassi-Pete_Sampras,Andre Agassi,Total,84,31,51,25,47,25,2,257,19940313,M,Miami_Masters,F
43884,19940313-M-Miami_Masters-F-Andre_Agassi-Pete_Sampras,Pete Sampras,Total,106,46,79,43,76,43,2,505,19940313,M,Miami_Masters,F
43905,19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich,Pete Sampras,Total,127,42,81,40,73,40,6,335,19931121,M,Tour_Finals,F
43926,19931121-M-Tour_Finals-F-Pete_Sampras-Michael_Stich,Michael Stich,Total,124,47,86,39,82,39,5,417,19931121,M,Tour_Finals,F
43947,19971102-M-Paris_Masters-F-Pete_Sampras-Jonas_Bjorkman,Pete Sampras,Total,77,33,57,28,53,28,0,265,19971102,M,Paris_Masters,F
43968,19971102-M-Paris_Masters-F-Pete_Sampras-Jonas_Bjorkman,Jonas Bjorkman,Total,98,36,69,33,66,33,7,281,19971102,M,Paris_Masters,F
43989,19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,Pete Sampras,Total,84,22,49,21,45,21,1,293,19910811,M,Cincinnati_Masters,F
44010,19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,Guy Forget,Total,85,20,54,19,49,19,4,254,19910811,M,Cincinnati_Masters,F
44031,20171014-M-Shanghai_Masters-SF-Juan_Martin_Del_Potro-Roger_Federer,Juan Martin Del Potro,Total,64,14,44,14,41,14,1,188,20171014,M,Shanghai_Masters,SF
44051,20171014-M-Shanghai_Masters-SF-Juan_Martin_Del_Potro-Roger_Federer,Roger Federer,Total,111,44,81,43,77,43,2,454,20171014,M,Shanghai_Masters,SF
44072,20180116-M-Australian_Open-R128-Roger_Federer-Aljaz_Bedene,Roger Federer,Total,90,37,67,32,63,32,4,352,20180116,M,Australian_Open,R128
44093,20180116-M-Australian_Open-R128-Roger_Federer-Aljaz_Bedene,Aljaz Bedene,Total,81,22,53,19,51,19,4,224,20180116,M,Australian_Open,R128
44114,20180120-M-Australian_Open-R32-Roger_Federer-Richard_Gasquet,Roger Federer,Total,90,37,68,34,64,34,4,358,20180120,M,Australian_Open,R32
44135,20180120-M-Australian_Open-R32-Roger_Federer-Richard_Gasquet,Richard Gasquet,Total,94,31,64,30,61,30,2,310,20180120,M,Australian_Open,R32
44156,20180118-M-Australian_Open-R64-Jan_Lennard_Struff-Roger_Federer,Jan Lennard Struff,Total,92,22,54,21,47,21,2,267,20180118,M,Australian_Open,R64
44177,20180118-M-Australian_Open-R64-Jan_Lennard_Struff-Roger_Federer,Roger Federer,Total,107,39,82,34,78,34,0,381,20180118,M,Australian_Open,R64
44198,20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,Marin Cilic,Total,139,40,77,36,70,36,5,421,20180128,M,Australian_Open,F
44219,20180128-M-Australian_Open-F-Marin_Cilic-Roger_Federer,Roger Federer,Total,141,53,92,48,85,48,4,451,20180128,M,Australian_Open,F
44239,19921108-M-Paris_Masters-F-Guy_Forget-Boris_Becker,Guy Forget,Total,96,26,52,20,48,20,3,228,19921108,M,Paris_Masters,F
44260,19921108-M-Paris_Masters-F-Guy_Forget-Boris_Becker,Boris Becker,Total,87,31,55,29,50,29,2,240,19921108,M,Paris_Masters,F
44281,20180126-M-Australian_Open-SF-Hyeon_Chung-Roger_Federer,Hyeon Chung,Total,37,7,20,6,20,6,0,103,20180126,M,Australian_Open,SF
44302,20180126-M-Australian_Open-SF-Hyeon_Chung-Roger_Federer,Roger Federer,Total,53,27,39,24,38,24,0,195,20180126,M,Australian_Open,SF
44323,19950730-M-Canada_Masters-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,84,29,73,29,70,29,1,433,19950730,M,Canada_Masters,F
44344,19950730-M-Canada_Masters-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,83,31,54,28,50,28,4,289,19950730,M,Canada_Masters,F
44365,20140103-M-Brisbane-QF-Marin_Cilic-Kei_Nishikori,Marin Cilic,Total,104,34,84,32,77,32,2,448,20140103,M,Brisbane,QF
44386,20140103-M-Brisbane-QF-Marin_Cilic-Kei_Nishikori,Kei Nishikori,Total,117,48,72,37,60,37,3,322,20140103,M,Brisbane,QF
44407,19951119-M-Tour_Finals-F-Michael_Chang-Boris_Becker,Michael Chang,Total,96,26,44,20,42,20,4,218,19951119,M,Tour_Finals,F
44428,19951119-M-Tour_Finals-F-Michael_Chang-Boris_Becker,Boris Becker,Total,104,42,80,39,70,39,5,329,19951119,M,Tour_Finals,F
44449,20001203-M-Tour_Finals-F-Andre_Agassi-Gustavo_Kuerten,Andre Agassi,Total,98,30,64,29,61,29,1,413,20001203,M,Tour_Finals,F
44470,20001203-M-Tour_Finals-F-Andre_Agassi-Gustavo_Kuerten,Gustavo Kuerten,Total,86,31,63,30,58,30,1,338,20001203,M,Tour_Finals,F
44491,20001119-M-Paris_Masters-F-Mark_Philippoussis-Marat_Safin,Mark Philippoussis,Total,157,46,106,44,101,44,1,563,20001119,M,Paris_Masters,F
44512,20001119-M-Paris_Masters-F-Mark_Philippoussis-Marat_Safin,Marat Safin,Total,160,42,84,33,77,33,2,451,20001119,M,Paris_Masters,F
44533,20180217-M-Chennai_CH-R32-Jordan_Thompson-Karim_Mohamed_Maamoun,Jordan Thompson,Total,62,34,50,30,49,30,1,302,20180217,M,Chennai_CH,R32
44554,20180217-M-Chennai_CH-R32-Jordan_Thompson-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,60,26,44,22,43,22,1,254,20180217,M,Chennai_CH,R32
44575,20180117-M-Koblenz_CH-R32-Christopher_Heyman-Karim_Mohamed_Maamoun,Christopher Heyman,Total,65,28,47,25,44,25,4,294,20180117,M,Koblenz_CH,R32
44596,20180117-M-Koblenz_CH-R32-Christopher_Heyman-Karim_Mohamed_Maamoun,Karim Mohamed Maamoun,Total,44,8,29,8,28,8,0,156,20180117,M,Koblenz_CH,R32
44617,20000326-M-Miami_Masters-F-Pete_Sampras-Gustavo_Kuerten,Pete Sampras,Total,158,55,114,51,103,51,0,487,20000326,M,Miami_Masters,F
44638,20000326-M-Miami_Masters-F-Pete_Sampras-Gustavo_Kuerten,Gustavo Kuerten,Total,148,43,76,34,69,34,8,296,20000326,M,Miami_Masters,F
44659,19941120-M-Tour_Finals-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,132,47,62,35,59,35,9,273,19941120,M,Tour_Finals,F
44680,19941120-M-Tour_Finals-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,111,27,79,24,72,24,6,335,19941120,M,Tour_Finals,F
44701,19971116-M-Tour_Finals-F-Pete_Sampras-Yevgeny_Kafelnikov,Pete Sampras,Total,76,41,60,37,56,37,5,289,19971116,M,Tour_Finals,F
44722,19971116-M-Tour_Finals-F-Pete_Sampras-Yevgeny_Kafelnikov,Yevgeny Kafelnikov,Total,69,20,38,18,38,18,4,207,19971116,M,Tour_Finals,F
44743,19980816-M-Cincinnati_Masters-F-Pete_Sampras-Patrick_Rafter,Pete Sampras,Total,49,15,32,11,29,11,2,130,19980816,M,Cincinnati_Masters,F
44763,19980816-M-Cincinnati_Masters-F-Pete_Sampras-Patrick_Rafter,Patrick Rafter,Total,60,24,36,21,32,21,4,125,19980816,M,Cincinnati_Masters,F
44784,19980809-M-Canada_Masters-F-Patrick_Rafter-Richard_Krajicek,Patrick Rafter,Total,57,25,41,22,39,22,3,153,19980809,M,Canada_Masters,F
44805,19980809-M-Canada_Masters-F-Patrick_Rafter-Richard_Krajicek,Richard Krajicek,Total,59,19,41,17,38,17,2,158,19980809,M,Canada_Masters,F
44826,19960707-M-Wimbledon-F-Richard_Krajicek-Malivai_Washington,Richard Krajicek,Total,88,39,72,37,65,37,1,301,19960707,M,Wimbledon,F
44847,19960707-M-Wimbledon-F-Richard_Krajicek-Malivai_Washington,Malivai Washington,Total,71,17,37,14,35,14,3,149,19960707,M,Wimbledon,F
44867,19950813-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Michael Chang,Total,68,24,48,20,44,20,1,222,19950813,M,Cincinnati_Masters,F
44888,19950813-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Andre Agassi,Total,80,36,63,36,59,36,1,344,19950813,M,Cincinnati_Masters,F
44909,20180215-M-Rotterdam-R16-Roger_Federer-Philipp_Kohlschreiber,Roger Federer,Total,91,31,68,29,67,29,2,396,20180215,M,Rotterdam,R16
44927,20180215-M-Rotterdam-R16-Roger_Federer-Philipp_Kohlschreiber,Philipp Kohlschreiber,Total,68,13,43,13,40,13,1,193,20180215,M,Rotterdam,R16
44945,19990516-M-Rome_Masters-F-Patrick_Rafter-Gustavo_Kuerten,Patrick Rafter,Total,69,16,53,16,48,16,1,263,19990516,M,Rome_Masters,F
44966,19990516-M-Rome_Masters-F-Patrick_Rafter-Gustavo_Kuerten,Gustavo Kuerten,Total,90,35,62,32,61,32,8,264,19990516,M,Rome_Masters,F
44987,19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Michael Chang,Total,70,25,50,25,47,25,4,253,19960811,M,Cincinnati_Masters,F
45008,19960811-M-Cincinnati_Masters-F-Michael_Chang-Andre_Agassi,Andre Agassi,Total,85,36,67,33,66,33,1,396,19960811,M,Cincinnati_Masters,F
45029,20180225-M-Marseille-F-Lucas_Pouille-Karen_Khachanov,Lucas Pouille,Total,80,21,48,19,43,19,0,259,20180225,M,Marseille,F
45047,20180225-M-Marseille-F-Lucas_Pouille-Karen_Khachanov,Karen Khachanov,Total,101,33,69,29,63,29,0,342,20180225,M,Marseille,F
45065,19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget,Pete Sampras,Total,159,57,114,56,105,56,1,653,19911103,M,Paris_Masters,F
45086,19911103-M-Paris_Masters-F-Pete_Sampras-Guy_Forget,Guy Forget,Total,163,59,111,57,108,57,0,514,19911103,M,Paris_Masters,F
45107,20060831-M-US_Open-R64-Marcos_Baghdatis-Andre_Agassi,Marcos Baghdatis,Total,176,64,137,62,135,62,7,998,20060831,M,US_Open,R64
45128,20060831-M-US_Open-R64-Marcos_Baghdatis-Andre_Agassi,Andre Agassi,Total,181,73,129,67,126,67,4,772,20060831,M,US_Open,R64
45149,19951105-M-Paris_Masters-F-Pete_Sampras-Boris_Becker,Pete Sampras,Total,137,58,88,52,86,52,9,409,19951105,M,Paris_Masters,F
45170,19951105-M-Paris_Masters-F-Pete_Sampras-Boris_Becker,Boris Becker,Total,111,37,72,32,65,32,4,327,19951105,M,Paris_Masters,F
45191,20180228-M-Dubai-R16-Karen_Khachanov-Lucas_Pouille,Karen Khachanov,Total,83,27,58,25,52,25,2,254,20180228,M,Dubai,R16
45209,20180228-M-Dubai-R16-Karen_Khachanov-Lucas_Pouille,Lucas Pouille,Total,78,26,53,25,51,25,2,273,20180228,M,Dubai,R16
45227,19981129-M-Tour_Finals-F-Alex_Corretja-Carlos_Moya,Alex Corretja,Total,140,51,101,46,95,46,1,602,19981129,M,Tour_Finals,F
45248,19981129-M-Tour_Finals-F-Alex_Corretja-Carlos_Moya,Carlos Moya,Total,189,76,153,71,146,71,1,1098,19981129,M,Tour_Finals,F
45269,19950312-M-Indian_Wells_Masters-F-Pete_Sampras-Andre_Agassi,Pete Sampras,Total,97,41,82,39,82,39,0,426,19950312,M,Indian_Wells_Masters,F
45289,19950312-M-Indian_Wells_Masters-F-Pete_Sampras-Andre_Agassi,Andre Agassi,Total,72,23,47,23,44,23,3,259,19950312,M,Indian_Wells_Masters,F
45310,19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker,Juan Aguilera,Total,89,48,75,46,73,46,2,809,19900513,M,Hamburg_Masters,F
45331,19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker,Boris Becker,Total,78,26,67,26,61,26,1,648,19900513,M,Hamburg_Masters,F
45352,19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,Brad Gilbert,Total,41,12,28,10,27,10,1,111,19900812,M,Cincinnati_Masters,F
45373,19900812-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,Stefan Edberg,Total,37,23,31,22,29,22,3,145,19900812,M,Cincinnati_Masters,F
45394,19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg,Andre Agassi,Total,160,67,123,66,119,66,8,572,19900311,M,Indian_Wells_Masters,F
45415,19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg,Stefan Edberg,Total,164,73,150,72,147,72,3,974,19900311,M,Indian_Wells_Masters,F
45436,19911117-M-Tour_Finals-F-Pete_Sampras-Jim_Courier,Pete Sampras,Total,140,55,117,53,111,53,0,653,19911117,M,Tour_Finals,F
45457,19911117-M-Tour_Finals-F-Pete_Sampras-Jim_Courier,Jim Courier,Total,116,36,84,31,82,31,2,349,19911117,M,Tour_Finals,F
45478,20180124-M-Australian_Open-QF-Tomas_Berdych-Roger_Federer,Tomas Berdych,Total,96,27,62,22,61,22,2,342,20180124,M,Australian_Open,QF
45499,20180124-M-Australian_Open-QF-Tomas_Berdych-Roger_Federer,Roger Federer,Total,94,36,75,35,73,35,2,427,20180124,M,Australian_Open,QF
45520,20180122-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,Roger Federer,Total,108,43,77,37,72,37,0,471,20180122,M,Australian_Open,R16
45541,20180122-M-Australian_Open-R16-Roger_Federer-Marton_Fucsovics,Marton Fucsovics,Total,81,16,56,14,54,14,0,301,20180122,M,Australian_Open,R16
45562,20180123-M-Australian_Open-QF-Rafael_Nadal-Marin_Cilic,Rafael Nadal,Total,138,49,88,41,83,41,2,447,20180123,M,Australian_Open,QF
45583,20180123-M-Australian_Open-QF-Rafael_Nadal-Marin_Cilic,Marin Cilic,Total,164,68,126,66,126,66,6,674,20180123,M,Australian_Open,QF
45604,19920426-M-Monte_Carlo_Masters-F-Aaron_Krickstein-Thomas_Muster,Aaron Krickstein,Total,74,23,65,23,63,23,0,469,19920426,M,Monte_Carlo_Masters,F
45625,19920426-M-Monte_Carlo_Masters-F-Aaron_Krickstein-Thomas_Muster,Thomas Muster,Total,76,39,70,39,68,39,1,589,19920426,M,Monte_Carlo_Masters,F
45646,19920726-M-Canada_Masters-F-Andre_Agassi-Ivan_Lendl,Andre Agassi,Total,80,39,60,35,55,35,2,383,19920726,M,Canada_Masters,F
45667,19920726-M-Canada_Masters-F-Andre_Agassi-Ivan_Lendl,Ivan Lendl,Total,88,34,67,32,62,32,3,335,19920726,M,Canada_Masters,F
45687,19920510-M-Hamburg_Masters-F-Stefan_Edberg-Michael_Stich,Stefan Edberg,Total,91,35,75,34,72,34,5,307,19920510,M,Hamburg_Masters,F
45708,19920510-M-Hamburg_Masters-F-Stefan_Edberg-Michael_Stich,Michael Stich,Total,110,44,87,42,82,42,9,412,19920510,M,Hamburg_Masters,F
45729,19981101-M-Stuttgart_Masters-F-Yevgeny_Kafelnikov-Richard_Krajicek,Yevgeny Kafelnikov,Total,72,14,37,13,34,13,4,161,19981101,M,Stuttgart_Masters,F
45749,19981101-M-Stuttgart_Masters-F-Yevgeny_Kafelnikov-Richard_Krajicek,Richard Krajicek,Total,82,30,57,25,53,25,2,241,19981101,M,Stuttgart_Masters,F
45770,19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,Petr Korda,Total,83,36,68,35,62,35,1,374,19910728,M,Canada_Masters,F
45791,19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,Andrei Chesnokov,Total,93,43,78,40,76,40,0,463,19910728,M,Canada_Masters,F
45812,20180318-M-Indian_Wells_Masters-F-Roger_Federer-Juan_Martin_Del_Potro,Roger Federer,Total,115,32,82,31,80,31,2,450,20180318,M,Indian_Wells_Masters,F
45833,20180318-M-Indian_Wells_Masters-F-Roger_Federer-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,115,39,80,34,78,34,2,445,20180318,M,Indian_Wells_Masters,F
45854,19980315-M-Indian_Wells_Masters-F-Marcelo_Rios-Greg_Rusedski,Marcelo Rios,Total,154,50,89,39,85,39,4,373,19980315,M,Indian_Wells_Masters,F
45874,19980315-M-Indian_Wells_Masters-F-Marcelo_Rios-Greg_Rusedski,Greg Rusedski,Total,136,25,95,25,86,25,1,499,19980315,M,Indian_Wells_Masters,F
45895,19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster,Andrei Chesnokov,Total,105,53,93,52,93,52,0,933,19900429,M,Monte_Carlo_Masters,F
45916,19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster,Thomas Muster,Total,103,43,92,41,88,41,1,878,19900429,M,Monte_Carlo_Masters,F
45937,19920517-M-Rome_Masters-F-Jim_Courier-Carlos_Costa,Jim Courier,Total,85,39,65,36,61,36,0,365,19920517,M,Rome_Masters,F
45958,19920517-M-Rome_Masters-F-Jim_Courier-Carlos_Costa,Carlos Costa,Total,96,32,73,32,72,32,1,462,19920517,M,Rome_Masters,F
45979,19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren,Mats Wilander,Total,152,65,111,59,108,59,2,413,19841209,M,Australian_Open,F
45999,19841209-M-Australian_Open-F-Mats_Wilander-Kevin_Curren,Kevin Curren,Total,151,50,108,48,106,48,3,482,19841209,M,Australian_Open,F
46020,19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson,Karel Novacek,Total,145,72,114,62,112,62,5,607,19910512,M,Hamburg_Masters,F
46041,19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson,Magnus Gustafsson,Total,139,62,105,59,97,59,6,522,19910512,M,Hamburg_Masters,F
46062,19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget,Jim Courier,Total,136,44,100,41,90,41,3,505,19910310,M,Indian_Wells_Masters,F
46083,19910310-M-Indian_Wells_Masters-F-Jim_Courier-Guy_Forget,Guy Forget,Total,139,41,104,38,95,38,3,595,19910310,M,Indian_Wells_Masters,F
46104,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,Denis Shapovalov,Total,67,31,48,28,48,28,0,259,20170318,M,Drummondville_CH,SF
46125,20170318-M-Drummondville_CH-SF-Denis_Shapovalov-Felix_Auger_Aliassime,Felix Auger Aliassime,Total,66,24,45,21,45,21,1,203,20170318,M,Drummondville_CH,SF
46146,20170226-M-Delray_Beach-SF-Milos_Raonic-Juan_Martin_Del_Potro,Milos Raonic,Total,76,30,53,30,52,30,3,290,20170226,M,Delray_Beach,SF
46167,20170226-M-Delray_Beach-SF-Milos_Raonic-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,68,19,36,17,36,17,1,199,20170226,M,Delray_Beach,SF
46188,19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker,Sergi Bruguera,Total,155,63,129,61,128,61,0,780,19910428,M,Monte_Carlo_Masters,F
46209,19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker,Boris Becker,Total,179,74,160,71,153,71,5,1150,19910428,M,Monte_Carlo_Masters,F
46230,20180401-M-Miami_Masters-F-John_Isner-Alexander_Zverev,John Isner,Total,108,34,64,28,58,28,1,378,20180401,M,Miami_Masters,F
46251,20180401-M-Miami_Masters-F-John_Isner-Alexander_Zverev,Alexander Zverev,Total,96,24,49,22,48,22,1,246,20180401,M,Miami_Masters,F
46272,19990509-M-Hamburg_Masters-F-Marcelo_Rios-Mariano_Zabaleta,Marcelo Rios,Total,192,87,150,79,142,79,0,893,19990509,M,Hamburg_Masters,F
46293,19990509-M-Hamburg_Masters-F-Marcelo_Rios-Mariano_Zabaleta,Mariano Zabaleta,Total,182,70,148,64,141,64,2,820,19990509,M,Hamburg_Masters,F
46314,20180106-M-Brisbane-SF-Grigor_Dimitrov-Nick_Kyrgios,Grigor Dimitrov,Total,71,20,38,18,36,18,3,217,20180106,M,Brisbane,SF
46331,20180106-M-Brisbane-SF-Grigor_Dimitrov-Nick_Kyrgios,Nick Kyrgios,Total,74,26,54,20,48,20,2,258,20180106,M,Brisbane,SF
46349,20180107-M-Brisbane-F-Ryan_Harrison-Nick_Kyrgios,Ryan Harrison,Total,56,14,31,13,29,13,3,149,20180107,M,Brisbane,F
46367,20180107-M-Brisbane-F-Ryan_Harrison-Nick_Kyrgios,Nick Kyrgios,Total,58,24,41,21,37,21,1,211,20180107,M,Brisbane,F
46385,20120319-M-Indian_Wells_Masters-F-Roger_Federer-John_Isner,Roger Federer,Total,71,25,49,24,46,24,0,246,20120319,M,Indian_Wells_Masters,F
46406,20120319-M-Indian_Wells_Masters-F-Roger_Federer-John_Isner,John Isner,Total,56,9,39,7,36,7,0,205,20120319,M,Indian_Wells_Masters,F
46427,19940508-M-Hamburg_Masters-F-Yevgeny_Kafelnikov-Andrei_Medvedev,Yevgeny Kafelnikov,Total,117,47,97,43,94,43,1,596,19940508,M,Hamburg_Masters,F
46448,19940508-M-Hamburg_Masters-F-Yevgeny_Kafelnikov-Andrei_Medvedev,Andrei Medvedev,Total,111,44,97,41,94,41,1,738,19940508,M,Hamburg_Masters,F
46469,19970518-M-Rome_Masters-F-Alex_Corretja-Marcelo_Rios,Alex Corretja,Total,94,44,81,43,80,43,0,443,19970518,M,Rome_Masters,F
46490,19970518-M-Rome_Masters-F-Alex_Corretja-Marcelo_Rios,Marcelo Rios,Total,110,42,88,38,85,38,0,710,19970518,M,Rome_Masters,F
46511,19950430-M-Monte_Carlo_Masters-F-Boris_Becker-Thomas_Muster,Boris Becker,Total,159,56,123,50,111,50,6,689,19950430,M,Monte_Carlo_Masters,F
46532,19950430-M-Monte_Carlo_Masters-F-Boris_Becker-Thomas_Muster,Thomas Muster,Total,150,62,97,54,94,54,5,424,19950430,M,Monte_Carlo_Masters,F
46553,20120512-M-Madrid_Masters-SF-Tomas_Berdych-Juan_Martin_Del_Potro,Tomas Berdych,Total,75,24,51,24,51,24,0,323,20120512,M,Madrid_Masters,SF
46574,20120512-M-Madrid_Masters-SF-Tomas_Berdych-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,83,28,56,24,56,24,0,303,20120512,M,Madrid_Masters,SF
46595,20170121-M-Australian_Open-R32-Rafael_Nadal-Alexander_Zverev,Rafael Nadal,Total,168,67,117,55,110,55,1,745,20170121,M,Australian_Open,R32
46613,20170121-M-Australian_Open-R32-Rafael_Nadal-Alexander_Zverev,Alexander Zverev,Total,150,45,112,41,100,41,1,695,20170121,M,Australian_Open,R32
46631,20180121-M-Australian_Open-R16-Grigor_Dimitrov-Nick_Kyrgios,Grigor Dimitrov,Total,153,46,85,40,82,40,4,531,20180121,M,Australian_Open,R16
46649,20180121-M-Australian_Open-R16-Grigor_Dimitrov-Nick_Kyrgios,Nick Kyrgios,Total,158,49,120,42,105,42,3,590,20180121,M,Australian_Open,R16
46667,20180408-M-Davis_Cup_World_Group_QF-RR-David_Ferrer-Philipp_Kohlschreiber,David Ferrer,Total,188,74,151,71,143,71,3,871,20180408,M,Davis_Cup_World_Group_QF,RR
46688,20180408-M-Davis_Cup_World_Group_QF-RR-David_Ferrer-Philipp_Kohlschreiber,Philipp Kohlschreiber,Total,183,72,152,66,139,66,2,835,20180408,M,Davis_Cup_World_Group_QF,RR
46709,20060618-M-Halle-F-Roger_Federer-Tomas_Berdych,Roger Federer,Total,79,33,55,31,55,31,0,282,20060618,M,Halle,F
46730,20060618-M-Halle-F-Roger_Federer-Tomas_Berdych,Tomas Berdych,Total,68,18,40,15,40,15,0,215,20060618,M,Halle,F
46751,20040306-M-Dubai-F-Roger_Federer-Feliciano_Lopez,Roger Federer,Total,91,40,70,37,68,37,2,352,20040306,M,Dubai,F
46772,20040306-M-Dubai-F-Roger_Federer-Feliciano_Lopez,Feliciano Lopez,Total,67,16,42,16,39,16,1,199,20040306,M,Dubai,F
46793,19960428-M-Monte_Carlo_Masters-F-Albert_Costa-Thomas_Muster,Albert Costa,Total,149,64,134,61,128,61,2,930,19960428,M,Monte_Carlo_Masters,F
46814,19960428-M-Monte_Carlo_Masters-F-Albert_Costa-Thomas_Muster,Thomas Muster,Total,147,75,128,66,124,66,0,917,19960428,M,Monte_Carlo_Masters,F
46835,20180415-M-Houston-F-Steve_Johnson-Tennys_Sandgren,Steve Johnson,Total,107,39,88,36,85,36,2,543,20180415,M,Houston,F
46856,20180415-M-Houston-F-Steve_Johnson-Tennys_Sandgren,Tennys Sandgren,Total,90,30,72,27,67,27,4,363,20180415,M,Houston,F
46877,19891203-M-Tour_Finals-F-Stefan_Edberg-Boris_Becker,Stefan Edberg,Total,121,49,88,43,82,43,3,446,19891203,M,Tour_Finals,F
46898,19891203-M-Tour_Finals-F-Stefan_Edberg-Boris_Becker,Boris Becker,Total,118,45,86,40,78,40,6,354,19891203,M,Tour_Finals,F
46919,19870607-M-Roland_Garros-F-Mats_Wilander-Ivan_Lendl,Mats Wilander,Total,124,45,100,44,100,44,0,1210,19870607,M,Roland_Garros,F
46940,19870607-M-Roland_Garros-F-Mats_Wilander-Ivan_Lendl,Ivan Lendl,Total,121,48,96,45,90,45,5,1054,19870607,M,Roland_Garros,F
46961,19931107-M-Paris_Masters-F-Andrei_Medvedev-Goran_Ivanisevic,Andrei Medvedev,Total,82,19,35,15,35,15,0,185,19931107,M,Paris_Masters,F
46982,19931107-M-Paris_Masters-F-Andrei_Medvedev-Goran_Ivanisevic,Goran Ivanisevic,Total,100,41,75,40,71,40,5,404,19931107,M,Paris_Masters,F
47003,20120608-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,86,42,67,39,62,39,0,453,20120608,M,Roland_Garros,SF
47021,20120608-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,91,32,73,30,67,30,1,465,20120608,M,Roland_Garros,SF
47039,20140411-M-Houston-QF-Donald_Young-Fernando_Verdasco,Donald Young,Total,63,19,47,17,45,17,1,252,20140411,M,Houston,QF
47060,20140411-M-Houston-QF-Donald_Young-Fernando_Verdasco,Fernando Verdasco,Total,58,27,46,22,45,22,1,252,20140411,M,Houston,QF
47081,19930307-M-Indian_Wells_Masters-F-Jim_Courier-Wayne_Ferreira,Jim Courier,Total,86,41,57,36,50,36,2,276,19930307,M,Indian_Wells_Masters,F
47102,19930307-M-Indian_Wells_Masters-F-Jim_Courier-Wayne_Ferreira,Wayne Ferreira,Total,74,18,52,15,44,15,1,293,19930307,M,Indian_Wells_Masters,F
47123,20000213-M-Marseille-F-Marc_Rosset-Roger_Federer,Marc Rosset,Total,64,23,50,21,46,21,2,281,20000213,M,Marseille,F
47144,20000213-M-Marseille-F-Marc_Rosset-Roger_Federer,Roger Federer,Total,58,18,28,11,26,11,3,127,20000213,M,Marseille,F
47165,19990314-M-Indian_Wells_Masters-F-Carlos_Moya-Mark_Philippoussis,Carlos Moya,Total,147,47,77,37,74,37,4,342,19990314,M,Indian_Wells_Masters,F
47186,19990314-M-Indian_Wells_Masters-F-Carlos_Moya-Mark_Philippoussis,Mark Philippoussis,Total,155,55,116,49,108,49,1,664,19990314,M,Indian_Wells_Masters,F
47207,20070303-M-Dubai-F-Roger_Federer-Mikhail_Youzhny,Roger Federer,Total,61,29,49,25,44,25,0,338,20070303,M,Dubai,F
