,match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots,tourney_date,sm,tourney_name,sm2
15734,20150414-M-Monte_Carlo_Masters-R64-Dominic_Thiem-Lucas_Pouille,Dominic Thiem,Total,63,29,48,24,46,24,0,283,20150414,M,Monte_Carlo_Masters,R64
15755,20150414-M-Monte_Carlo_Masters-R64-Dominic_Thiem-Lucas_Pouille,Lucas Pouille,Total,63,32,55,31,53,31,0,276,20150414,M,Monte_Carlo_Masters,R64
15776,20150414-M-Monte_Carlo_Masters-R64-Tommy_Robredo-Andreas_Seppi,Tommy Robredo,Total,85,37,76,35,74,35,2,470,20150414,M,Monte_Carlo_Masters,R64
15796,20150414-M-Monte_Carlo_Masters-R64-Tommy_Robredo-Andreas_Seppi,Andreas Seppi,Total,76,31,51,27,49,27,1,265,20150414,M,Monte_Carlo_Masters,R64
15816,20150415-M-Monte_Carlo_Masters-R32-Jo_Wilfried_Tsonga-David_Goffin,Jo Wilfried Tsonga,Total,60,23,49,21,46,21,2,301,20150415,M,Monte_Carlo_Masters,R32
15837,20150415-M-Monte_Carlo_Masters-R32-Jo_Wilfried_Tsonga-David_Goffin,David Goffin,Total,71,23,53,20,49,20,0,275,20150415,M,Monte_Carlo_Masters,R32
15858,20150416-M-Monte_Carlo_Masters-R16-Roger_Federer-Gael_Monfils,Roger Federer,Total,81,28,58,28,58,28,1,373,20150416,M,Monte_Carlo_Masters,R16
15879,20150416-M-Monte_Carlo_Masters-R16-Roger_Federer-Gael_Monfils,Gael Monfils,Total,87,36,69,35,68,35,1,398,20150416,M,Monte_Carlo_Masters,R16
15900,20150417-M-Monte_Carlo_Masters-QF-David_Ferrer-Rafael_Nadal,David Ferrer,Total,99,41,86,39,82,39,1,560,20150417,M,Monte_Carlo_Masters,QF
15921,20150417-M-Monte_Carlo_Masters-QF-David_Ferrer-Rafael_Nadal,Rafael Nadal,Total,99,47,88,43,86,43,0,636,20150417,M,Monte_Carlo_Masters,QF
15941,20150417-M-Monte_Carlo_Masters-QF-Grigor_Dimitrov-Gael_Monfils,Grigor Dimitrov,Total,53,17,40,17,37,17,1,286,20150417,M,Monte_Carlo_Masters,QF
15962,20150417-M-Monte_Carlo_Masters-QF-Grigor_Dimitrov-Gael_Monfils,Gael Monfils,Total,37,19,30,18,28,18,0,161,20150417,M,Monte_Carlo_Masters,QF
