,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
23201,20120802-M-Olympics-QF-John_Isner-Roger_Federer,John Isner,Total,54,9,40,15,3,0,2,1,0,20120802,M,Olympics,QF
23219,20120802-M-Olympics-QF-John_Isner-Roger_Federer,Roger Federer,Total,37,17,19,7,0,0,0,0,0,20120802,M,Olympics,QF
23237,20160425-M-Bucharest-F-Fernando_Verdasco-Lucas_Pouille,Fernando Verdasco,Total,35,9,25,13,0,0,0,0,0,20160425,M,Bucharest,F
23255,20160425-M-Bucharest-F-Fernando_Verdasco-Lucas_Pouille,Lucas Pouille,Total,56,11,43,12,2,0,0,2,0,20160425,M,Bucharest,F
23273,19970126-M-Australian_Open-F-Pete_Sampras-Carlos_Moya,Pete Sampras,Total,54,15,35,6,4,4,0,0,0,19970126,M,Australian_Open,F
23291,19970126-M-Australian_Open-F-Pete_Sampras-Carlos_Moya,Carlos Moya,Total,38,18,20,4,1,0,1,0,0,19970126,M,Australian_Open,F
23308,19851208-M-Australian_Open-F-Stefan_Edberg-Mats_Wilander,Stefan Edberg,Total,74,26,39,6,7,1,2,3,0,19851208,M,Australian_Open,F
23326,19851208-M-Australian_Open-F-Stefan_Edberg-Mats_Wilander,Mats Wilander,Total,48,19,25,0,4,0,3,1,0,19851208,M,Australian_Open,F
23344,19830703-M-Wimbledon-F-Chris_Lewis-John_Mcenroe,Chris Lewis,Total,41,35,5,0,1,0,0,1,0,19830703,M,Wimbledon,F
23362,19830703-M-Wimbledon-F-Chris_Lewis-John_Mcenroe,John Mcenroe,Total,54,35,16,1,3,1,1,1,0,19830703,M,Wimbledon,F
23379,19880605-M-Roland_Garros-F-Mats_Wilander-Henri_Leconte,Mats Wilander,Total,60,33,25,2,2,1,1,0,0,19880605,M,Roland_Garros,F
23396,19880605-M-Roland_Garros-F-Mats_Wilander-Henri_Leconte,Henri Leconte,Total,62,11,51,7,0,0,0,0,0,19880605,M,Roland_Garros,F
23414,20101015-M-Shanghai_Masters-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,55,16,38,18,1,0,0,1,0,20101015,M,Shanghai_Masters,SF
23432,20101015-M-Shanghai_Masters-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,57,8,49,19,0,0,0,0,0,20101015,M,Shanghai_Masters,SF
23450,20160427-M-Istanbul-R32-Teymuraz_Gabashvili-Damir_Dzumhur,Teymuraz Gabashvili,Total,43,9,32,13,2,0,2,0,0,20160427,M,Istanbul,R32
23467,20160427-M-Istanbul-R32-Teymuraz_Gabashvili-Damir_Dzumhur,Damir Dzumhur,Total,59,13,46,24,0,0,0,0,0,20160427,M,Istanbul,R32
23485,20101121-M-Tour_Finals-RR-Novak_Djokovic-Andy_Roddick,Novak Djokovic,Total,25,6,19,6,0,0,0,0,0,20101121,M,Tour_Finals,RR
23503,20101121-M-Tour_Finals-RR-Novak_Djokovic-Andy_Roddick,Andy Roddick,Total,33,8,25,18,0,0,0,0,0,20101121,M,Tour_Finals,RR
23521,20091122-M-Tour_Finals-RR-Robin_Soderling-Nikolay_Davydenko,Robin Soderling,Total,53,13,39,22,1,0,0,1,0,20091122,M,Tour_Finals,RR
23539,20091122-M-Tour_Finals-RR-Robin_Soderling-Nikolay_Davydenko,Nikolay Davydenko,Total,52,12,40,17,0,0,0,0,0,20091122,M,Tour_Finals,RR
23557,20010508-M-Rome_Masters-R32-Roger_Federer-Marat_Safin,Roger Federer,Total,90,23,62,27,4,2,0,2,0,20010508,M,Rome_Masters,R32
23575,20010508-M-Rome_Masters-R32-Roger_Federer-Marat_Safin,Marat Safin,Total,106,31,64,28,6,2,3,1,0,20010508,M,Rome_Masters,R32
23593,19870914-M-US_Open-F-Ivan_Lendl-Mats_Wilander,Ivan Lendl,Total,108,37,68,7,3,1,1,1,0,19870914,M,US_Open,F
23611,19870914-M-US_Open-F-Ivan_Lendl-Mats_Wilander,Mats Wilander,Total,125,31,92,13,2,1,1,0,0,19870914,M,US_Open,F
23629,20160502-M-Karshi_CH-R32-Pavel_Tsoy-Nikola_Milojevic,Pavel Tsoy,Total,22,4,16,5,2,0,2,0,0,20160502,M,Karshi_CH,R32
23647,20160502-M-Karshi_CH-R32-Pavel_Tsoy-Nikola_Milojevic,Nikola Milojevic,Total,40,9,29,8,2,1,0,0,1,20160502,M,Karshi_CH,R32
23665,20160501-M-Munich-F-Dominic_Thiem-Philipp_Kohlschreiber,Dominic Thiem,Total,88,25,62,28,1,0,0,1,0,20160501,M,Munich,F
23683,20160501-M-Munich-F-Dominic_Thiem-Philipp_Kohlschreiber,Philipp Kohlschreiber,Total,90,22,61,26,2,0,2,0,0,20160501,M,Munich,F
23701,20111009-M-Tokyo-F-Rafael_Nadal-Andy_Murray,Rafael Nadal,Total,51,16,35,12,0,0,0,0,0,20111009,M,Tokyo,F
23719,20111009-M-Tokyo-F-Rafael_Nadal-Andy_Murray,Andy Murray,Total,67,13,54,16,0,0,0,0,0,20111009,M,Tokyo,F
23737,20160505-M-Madrid-R16-Richard_Gasquet-Kei_Nishikori,Richard Gasquet,Total,58,10,47,21,0,0,0,0,0,20160505,M,Madrid,R16
23755,20160505-M-Madrid-R16-Richard_Gasquet-Kei_Nishikori,Kei Nishikori,Total,59,12,46,19,1,1,0,0,0,20160505,M,Madrid,R16
23773,20101126-M-Tour_Finals-SF-Roger_Federer-Novak_Djokovic,Roger Federer,Total,45,10,33,15,2,1,1,0,0,20101126,M,Tour_Finals,SF
23791,20101126-M-Tour_Finals-SF-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,40,8,32,14,0,0,0,0,0,20101126,M,Tour_Finals,SF
23809,19830911-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,Total,121,13,104,10,4,1,3,0,0,19830911,M,US_Open,F
23827,19830911-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,Total,84,23,57,11,4,0,1,2,0,19830911,M,US_Open,F
23845,20160509-M-Seoul_CH-R32-Ho_Gi_Kang-Yuichi_Sugita,Ho Gi Kang,Total,25,1,21,11,3,0,0,2,1,20160509,M,Seoul_CH,R32
23863,20160509-M-Seoul_CH-R32-Ho_Gi_Kang-Yuichi_Sugita,Yuichi Sugita,Total,41,5,35,13,1,0,1,0,0,20160509,M,Seoul_CH,R32
23881,20120730-M-Olympics-R32-Juan_Martin_Del_Potro-Andreas_Seppi,Juan Martin Del Potro,Total,57,8,48,25,1,1,0,0,0,20120730,M,Olympics,R32
23899,20120730-M-Olympics-R32-Juan_Martin_Del_Potro-Andreas_Seppi,Andreas Seppi,Total,54,17,34,17,3,2,1,0,0,20120730,M,Olympics,R32
23917,20110513-M-Rome_Masters-SF-Novak_Djokovic-Andy_Murray,Novak Djokovic,Total,77,17,58,20,2,1,1,0,0,20110513,M,Rome_Masters,SF
23935,20110513-M-Rome_Masters-SF-Novak_Djokovic-Andy_Murray,Andy Murray,Total,84,14,69,28,1,0,1,0,0,20110513,M,Rome_Masters,SF
23953,20120812-M-Canada_Masters-F-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Total,27,7,20,5,0,0,0,0,0,20120812,M,Canada_Masters,F
23970,20120812-M-Canada_Masters-F-Novak_Djokovic-Richard_Gasquet,Richard Gasquet,Total,35,12,23,5,0,0,0,0,0,20120812,M,Canada_Masters,F
23988,20130813-M-Canada_Masters-QF-Novak_Djokovic-Richard_Gasquet,Novak Djokovic,Total,27,2,24,13,1,0,1,0,0,20130813,M,Canada_Masters,QF
24006,20130813-M-Canada_Masters-QF-Novak_Djokovic-Richard_Gasquet,Richard Gasquet,Total,23,6,16,7,1,0,1,0,0,20130813,M,Canada_Masters,QF
24023,20120728-M-Olympics-R64-Roger_Federer-Alejandro_Falla,Roger Federer,Total,76,26,44,17,3,3,0,0,0,20120728,M,Olympics,R64
24041,20120728-M-Olympics-R64-Roger_Federer-Alejandro_Falla,Alejandro Falla,Total,62,16,41,20,4,2,0,2,0,20120728,M,Olympics,R64
24059,20160506-M-Madrid_Masters-QF-Kei_Nishikori-Nick_Kyrgios,Kei Nishikori,Total,58,21,36,16,1,1,0,0,0,20160506,M,Madrid_Masters,QF
24077,20160506-M-Madrid_Masters-QF-Kei_Nishikori-Nick_Kyrgios,Nick Kyrgios,Total,91,20,67,25,4,2,2,0,0,20160506,M,Madrid_Masters,QF
24095,20160515-M-Rome_Masters-F-Andy_Murray-Novak_Djokovic,Andy Murray,Total,43,6,36,20,1,0,1,0,0,20160515,M,Rome_Masters,F
24113,20160515-M-Rome_Masters-F-Andy_Murray-Novak_Djokovic,Novak Djokovic,Total,45,11,32,17,1,0,1,0,0,20160515,M,Rome_Masters,F
24131,20060922-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Novak_Djokovic,Roger Federer,Total,74,22,51,16,1,1,0,0,0,20060922,M,Davis_Cup_World_Group_PO,RR
24149,20060922-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,49,4,45,17,0,0,0,0,0,20060922,M,Davis_Cup_World_Group_PO,RR
24167,20080815-M-Olympics-SF-Novak_Djokovic-Rafael_Nadal,Novak Djokovic,Total,58,13,40,17,4,0,3,1,0,20080815,M,Olympics,SF
24185,20080815-M-Olympics-SF-Novak_Djokovic-Rafael_Nadal,Rafael Nadal,Total,59,11,38,20,5,3,2,0,0,20080815,M,Olympics,SF
24203,20131101-M-Paris_Masters-QF-Novak_Djokovic-Stan_Wawrinka,Novak Djokovic,Total,37,9,28,18,0,0,0,0,0,20131101,M,Paris_Masters,QF
24221,20131101-M-Paris_Masters-QF-Novak_Djokovic-Stan_Wawrinka,Stan Wawrinka,Total,50,8,42,10,0,0,0,0,0,20131101,M,Paris_Masters,QF
24238,20131104-M-Tour_Finals-RR-Richard_Gasquet-Novak_Djokovic,Richard Gasquet,Total,68,12,55,28,1,0,0,0,1,20131104,M,Tour_Finals,RR
24256,20131104-M-Tour_Finals-RR-Richard_Gasquet-Novak_Djokovic,Novak Djokovic,Total,67,13,54,28,0,0,0,0,0,20131104,M,Tour_Finals,RR
24274,19900610-M-Roland_Garros-F-Andres_Gomez-Andre_Agassi,Andres Gomez,Total,85,14,67,9,4,2,1,1,0,19900610,M,Roland_Garros,F
24292,19900610-M-Roland_Garros-F-Andres_Gomez-Andre_Agassi,Andre Agassi,Total,95,20,70,4,5,1,3,1,0,19900610,M,Roland_Garros,F
24310,20130517-M-Rome_Masters-SF-Tomas_Berdych-Rafael_Nadal,Tomas Berdych,Total,36,6,29,11,1,1,0,0,0,20130517,M,Rome_Masters,SF
24327,20130517-M-Rome_Masters-SF-Tomas_Berdych-Rafael_Nadal,Rafael Nadal,Total,37,14,22,9,1,1,0,0,0,20130517,M,Rome_Masters,SF
24345,20131102-M-Paris_Masters-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Total,65,14,51,20,0,0,0,0,0,20131102,M,Paris_Masters,SF
24363,20131102-M-Paris_Masters-SF-Novak_Djokovic-Roger_Federer,Roger Federer,Total,56,10,44,17,2,2,0,0,0,20131102,M,Paris_Masters,SF
24380,20110909-M-US_Open-SF-Roger_Federer-Novak_Djokovic,Roger Federer,Total,94,17,76,23,1,0,0,1,0,20110909,M,US_Open,SF
24398,20110909-M-US_Open-SF-Roger_Federer-Novak_Djokovic,Novak Djokovic,Total,111,23,88,34,0,0,0,0,0,20110909,M,US_Open,SF
24416,19990606-M-Roland_Garros-F-Andrei_Medvedev-Andre_Agassi,Andrei Medvedev,Total,111,10,93,14,8,2,4,2,0,19990606,M,Roland_Garros,F
24434,19990606-M-Roland_Garros-F-Andrei_Medvedev-Andre_Agassi,Andre Agassi,Total,104,15,81,18,8,6,1,1,0,19990606,M,Roland_Garros,F
24452,20100126-M-Australian_Open-QF-Novak_Djokovic-Jo_Wilfried_Tsonga,Novak Djokovic,Total,121,29,91,32,1,0,1,0,0,20100126,M,Australian_Open,QF
24470,20100126-M-Australian_Open-QF-Novak_Djokovic-Jo_Wilfried_Tsonga,Jo Wilfried Tsonga,Total,112,31,79,32,2,0,0,2,0,20100126,M,Australian_Open,QF
24488,20120510-M-Madrid_Masters-QF-David_Ferrer-Roger_Federer,David Ferrer,Total,24,5,19,6,0,0,0,0,0,20120510,M,Madrid_Masters,QF
24506,20120510-M-Madrid_Masters-QF-David_Ferrer-Roger_Federer,Roger Federer,Total,57,14,43,18,0,0,0,0,0,20120510,M,Madrid_Masters,QF
24524,19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,John Mcenroe,Total,133,26,103,22,4,0,1,3,0,19820704,M,Wimbledon,F
24542,19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,Jimmy Connors,Total,87,47,36,3,4,3,0,1,0,19820704,M,Wimbledon,F
24560,20050508-M-Rome_Masters-F-Rafael_Nadal-Guillermo_Coria,Rafael Nadal,Total,175,35,126,48,7,2,3,1,1,20050508,M,Rome_Masters,F
24578,20050508-M-Rome_Masters-F-Rafael_Nadal-Guillermo_Coria,Guillermo Coria,Total,159,35,120,41,4,2,1,1,0,20050508,M,Rome_Masters,F
24596,20120729-M-Olympics-R64-Andy_Murray-Stan_Wawrinka,Andy Murray,Total,52,12,33,8,3,2,0,1,0,20120729,M,Olympics,R64
24614,20120729-M-Olympics-R64-Andy_Murray-Stan_Wawrinka,Stan Wawrinka,Total,34,5,25,12,4,3,0,1,0,20120729,M,Olympics,R64
24632,19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker,Stefan Edberg,Total,86,53,24,0,9,5,1,2,1,19880704,M,Wimbledon,F
24650,19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker,Boris Becker,Total,84,43,31,2,10,6,3,1,0,19880704,M,Wimbledon,F
24668,20150130-M-Australian_Open-SF-Novak_Djokovic-Stan_Wawrinka,Novak Djokovic,Total,112,18,93,39,1,0,0,1,0,20150130,M,Australian_Open,SF
24686,20150130-M-Australian_Open-SF-Novak_Djokovic-Stan_Wawrinka,Stan Wawrinka,Total,97,21,75,35,1,1,0,0,0,20150130,M,Australian_Open,SF
24704,20160220-M-Marseille-QF-Stan_Wawrinka-Benoit_Paire,Stan Wawrinka,Total,83,19,52,24,10,3,6,1,0,20160220,M,Marseille,QF
24722,20160220-M-Marseille-QF-Stan_Wawrinka-Benoit_Paire,Benoit Paire,Total,61,6,50,25,12,4,5,3,0,20160220,M,Marseille,QF
24740,20120802-M-Olympics-QF-Nicolas_Almagro-Andy_Murray,Nicolas Almagro,Total,14,1,10,3,3,0,2,1,0,20120802,M,Olympics,QF
24758,20120802-M-Olympics-QF-Nicolas_Almagro-Andy_Murray,Andy Murray,Total,40,8,31,12,1,1,0,0,0,20120802,M,Olympics,QF
24776,20030809-M-Canada_Masters-SF-Roger_Federer-Andy_Roddick,Roger Federer,Total,50,21,29,9,0,0,0,0,0,20030809,M,Canada_Masters,SF
24794,20030809-M-Canada_Masters-SF-Roger_Federer-Andy_Roddick,Andy Roddick,Total,64,19,44,19,1,0,0,1,0,20030809,M,Canada_Masters,SF
24812,20160528-M-Roland_Garros-R32-Alexander_Zverev-Dominic_Thiem,Alexander Zverev,Total,94,29,64,26,0,0,0,0,0,20160528,M,Roland_Garros,R32
24830,20160528-M-Roland_Garros-R32-Alexander_Zverev-Dominic_Thiem,Dominic Thiem,Total,79,17,58,22,0,0,0,0,0,20160528,M,Roland_Garros,R32
24848,19900708-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Boris Becker,Total,90,44,40,2,6,4,0,2,0,19900708,M,Wimbledon,F
24866,19900708-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,Stefan Edberg,Total,89,61,24,2,4,1,0,3,0,19900708,M,Wimbledon,F
24884,19941116-M-Tour_Finals-RR-Michael_Chang-Andre_Agassi,Michael Chang,Total,44,7,37,17,0,0,0,0,0,19941116,M,Tour_Finals,RR
24902,19941116-M-Tour_Finals-RR-Michael_Chang-Andre_Agassi,Andre Agassi,Total,54,21,33,12,0,0,0,0,0,19941116,M,Tour_Finals,RR
24919,20040807-M-Cincinnati_Masters-SF-Andy_Roddick-Andre_Agassi,Andy Roddick,Total,62,20,39,19,3,2,0,0,1,20040807,M,Cincinnati_Masters,SF
24936,20040807-M-Cincinnati_Masters-SF-Andy_Roddick-Andre_Agassi,Andre Agassi,Total,48,9,39,18,0,0,0,0,0,20040807,M,Cincinnati_Masters,SF
24954,19990131-M-Australian_Open-F-Yevgeny_Kafelnikov-Thomas_Enqvist,Yevgeny Kafelnikov,Total,67,15,51,10,1,0,0,1,0,19990131,M,Australian_Open,F
24972,19990131-M-Australian_Open-F-Yevgeny_Kafelnikov-Thomas_Enqvist,Thomas Enqvist,Total,91,17,68,12,6,3,1,2,0,19990131,M,Australian_Open,F
24990,20080905-M-US_Open-SF-Rafael_Nadal-Andy_Murray,Rafael Nadal,Total,61,23,35,18,3,0,1,1,1,20080905,M,US_Open,SF
25008,20080905-M-US_Open-SF-Rafael_Nadal-Andy_Murray,Andy Murray,Total,135,24,108,48,3,3,0,0,0,20080905,M,US_Open,SF
25026,20070123-M-Australian_Open-QF-Rafael_Nadal-Fernando_Gonzalez,Rafael Nadal,Total,61,23,37,11,1,1,0,0,0,20070123,M,Australian_Open,QF
25044,20070123-M-Australian_Open-QF-Rafael_Nadal-Fernando_Gonzalez,Fernando Gonzalez,Total,65,6,58,31,1,1,0,0,0,20070123,M,Australian_Open,QF
25062,19930131-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Jim Courier,Total,72,35,35,2,2,1,0,1,0,19930131,M,Australian_Open,F
25080,19930131-M-Australian_Open-F-Jim_Courier-Stefan_Edberg,Stefan Edberg,Total,66,15,44,9,7,2,2,3,0,19930131,M,Australian_Open,F
25098,20120729-M-Olympics-R64-Jo_Wilfried_Tsonga-Thomaz_Bellucci,Jo Wilfried Tsonga,Total,69,13,43,17,10,1,8,1,0,20120729,M,Olympics,R64
25116,20120729-M-Olympics-R64-Jo_Wilfried_Tsonga-Thomaz_Bellucci,Thomaz Bellucci,Total,54,17,25,9,4,2,1,1,0,20120729,M,Olympics,R64
25134,20010128-M-Australian_Open-F-Arnaud_Clement-Andre_Agassi,Arnaud Clement,Total,59,12,43,10,4,1,2,1,0,20010128,M,Australian_Open,F
25151,20010128-M-Australian_Open-F-Arnaud_Clement-Andre_Agassi,Andre Agassi,Total,67,9,56,11,2,1,1,0,0,20010128,M,Australian_Open,F
25169,20160603-M-Roland_Garros-SF-Stan_Wawrinka-Andy_Murray,Stan Wawrinka,Total,80,20,58,28,0,0,0,0,0,20160603,M,Roland_Garros,SF
25187,20160603-M-Roland_Garros-SF-Stan_Wawrinka-Andy_Murray,Andy Murray,Total,85,20,63,30,1,1,0,0,0,20160603,M,Roland_Garros,SF
25205,20160603-M-Roland_Garros-SF-Novak_Djokovic-Dominic_Thiem,Novak Djokovic,Total,64,15,48,18,0,0,0,0,0,20160603,M,Roland_Garros,SF
25223,20160603-M-Roland_Garros-SF-Novak_Djokovic-Dominic_Thiem,Dominic Thiem,Total,53,8,45,15,0,0,0,0,0,20160603,M,Roland_Garros,SF
25241,20080307-M-Dubai-QF-Igor_Andreev-Novak_Djokovic,Igor Andreev,Total,26,8,18,7,0,0,0,0,0,20080307,M,Dubai,QF
25259,20080307-M-Dubai-QF-Igor_Andreev-Novak_Djokovic,Novak Djokovic,Total,32,7,25,11,0,0,0,0,0,20080307,M,Dubai,QF
25277,20020127-M-Australian_Open-F-Thomas_Johansson-Marat_Safin,Thomas Johansson,Total,103,15,85,14,3,1,2,0,0,20020127,M,Australian_Open,F
25295,20020127-M-Australian_Open-F-Thomas_Johansson-Marat_Safin,Marat Safin,Total,75,20,48,5,7,1,3,2,1,20020127,M,Australian_Open,F
25313,20120801-M-Olympics-R16-Novak_Djokovic-Lleyton_Hewitt,Novak Djokovic,Total,59,0,0,0,3,3,0,0,0,20120801,M,Olympics,R16
25331,20120801-M-Olympics-R16-Novak_Djokovic-Lleyton_Hewitt,Lleyton Hewitt,Total,58,0,0,0,7,3,2,2,0,20120801,M,Olympics,R16
25349,20101122-M-Tour_Finals-RR-Robin_Soderling-Andy_Murray,Robin Soderling,Total,39,8,31,14,0,0,0,0,0,20101122,M,Tour_Finals,RR
25367,20101122-M-Tour_Finals-RR-Robin_Soderling-Andy_Murray,Andy Murray,Total,33,6,27,9,0,0,0,0,0,20101122,M,Tour_Finals,RR
25385,20060318-M-Indian_Wells_Masters-SF-James_Blake-Rafael_Nadal,James Blake,Total,48,7,41,12,0,0,0,0,0,20060318,M,Indian_Wells_Masters,SF
25402,20060318-M-Indian_Wells_Masters-SF-James_Blake-Rafael_Nadal,Rafael Nadal,Total,52,21,29,10,2,1,0,1,0,20060318,M,Indian_Wells_Masters,SF
25420,19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,John Mcenroe,Total,127,36,87,9,4,0,3,1,0,19800907,M,US_Open,F
25438,19800907-M-US_Open-F-John_Mcenroe-Bjorn_Borg,Bjorn Borg,Total,106,55,38,2,13,7,2,3,1,19800907,M,US_Open,F
25456,20120801-M-Olympics-R16-Roger_Federer-Denis_Istomin,Roger Federer,Total,41,5,33,23,3,2,0,1,0,20120801,M,Olympics,R16
25474,20120801-M-Olympics-R16-Roger_Federer-Denis_Istomin,Denis Istomin,Total,46,10,32,20,0,0,0,0,0,20120801,M,Olympics,R16
25492,19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,Guillermo Vilas,Total,38,6,31,6,1,0,1,0,0,19820606,M,Roland_Garros,F
25510,19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,Mats Wilander,Total,48,7,41,4,0,0,0,0,0,19820606,M,Roland_Garros,F
25528,20131031-M-Paris_Masters-R16-John_Isner-Novak_Djokovic,John Isner,Total,39,10,29,19,0,0,0,0,0,20131031,M,Paris_Masters,R16
25546,20131031-M-Paris_Masters-R16-John_Isner-Novak_Djokovic,Novak Djokovic,Total,71,12,59,34,0,0,0,0,0,20131031,M,Paris_Masters,R16
25564,19930606-M-Roland_Garros-F-Jim_Courier-Sergi_Bruguera,Jim Courier,Total,79,28,49,8,2,0,1,1,0,19930606,M,Roland_Garros,F
25582,19930606-M-Roland_Garros-F-Jim_Courier-Sergi_Bruguera,Sergi Bruguera,Total,94,23,66,9,5,1,3,1,0,19930606,M,Roland_Garros,F
25600,19940911-M-US_Open-F-Michael_Stich-Andre_Agassi,Michael Stich,Total,67,2,59,8,7,3,3,1,0,19940911,M,US_Open,F
25617,19940911-M-US_Open-F-Michael_Stich-Andre_Agassi,Andre Agassi,Total,69,27,34,1,8,1,5,2,0,19940911,M,US_Open,F
25635,20030608-M-Roland_Garros-F-Martin_Verkerk-Juan_Carlos_Ferrero,Martin Verkerk,Total,48,18,27,7,3,1,2,0,0,20030608,M,Roland_Garros,F
25653,20030608-M-Roland_Garros-F-Martin_Verkerk-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,73,26,44,4,4,1,3,0,0,20030608,M,Roland_Garros,F
25671,20060305-M-Dubai-F-Roger_Federer-Rafael_Nadal,Roger Federer,Total,72,11,60,18,1,0,1,0,0,20060305,M,Dubai,F
25689,20060305-M-Dubai-F-Roger_Federer-Rafael_Nadal,Rafael Nadal,Total,50,18,32,9,0,0,0,0,0,20060305,M,Dubai,F
25706,19970706-M-Wimbledon-F-Cedric_Pioline-Pete_Sampras,Cedric Pioline,Total,32,17,12,0,3,2,0,1,0,19970706,M,Wimbledon,F
25724,19970706-M-Wimbledon-F-Cedric_Pioline-Pete_Sampras,Pete Sampras,Total,51,31,15,1,5,3,0,2,0,19970706,M,Wimbledon,F
25742,20120805-M-Olympics-BR-Novak_Djokovic-Juan_Martin_Del_Potro,Novak Djokovic,Total,51,10,38,20,3,1,2,0,0,20120805,M,Olympics,BR
25760,20120805-M-Olympics-BR-Novak_Djokovic-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,39,4,32,14,3,1,1,1,0,20120805,M,Olympics,BR
25778,20101121-M-Tour_Finals-RR-Tomas_Berdych-Novak_Djokovic,Tomas Berdych,Total,38,11,27,16,0,0,0,0,0,20101121,M,Tour_Finals,RR
25796,20101121-M-Tour_Finals-RR-Tomas_Berdych-Novak_Djokovic,Novak Djokovic,Total,38,8,30,8,0,0,0,0,0,20101121,M,Tour_Finals,RR
25814,19940703-M-Wimbledon-F-Pete_Sampras-Goran_Ivanisevic,Pete Sampras,Total,57,30,25,0,2,2,0,0,0,19940703,M,Wimbledon,F
25832,19940703-M-Wimbledon-F-Pete_Sampras-Goran_Ivanisevic,Goran Ivanisevic,Total,53,16,26,0,11,7,2,2,0,19940703,M,Wimbledon,F
25850,20120801-M-Olympics-R16-Andy_Murray-Marcos_Baghdatis,Andy Murray,Total,79,20,57,24,2,0,1,1,0,20120801,M,Olympics,R16
25868,20120801-M-Olympics-R16-Andy_Murray-Marcos_Baghdatis,Marcos Baghdatis,Total,47,9,36,16,2,0,1,1,0,20120801,M,Olympics,R16
25886,20000709-M-Wimbledon-F-Patrick_Rafter-Pete_Sampras,Patrick Rafter,Total,48,28,14,0,6,6,0,0,0,20000709,M,Wimbledon,F
25904,20000709-M-Wimbledon-F-Patrick_Rafter-Pete_Sampras,Pete Sampras,Total,71,38,28,2,5,1,4,0,0,20000709,M,Wimbledon,F
25922,20120729-M-Olympics-R64-Novak_Djokovic-Fabio_Fognini,Novak Djokovic,Total,73,15,56,23,2,0,2,0,0,20120729,M,Olympics,R64
25940,20120729-M-Olympics-R64-Novak_Djokovic-Fabio_Fognini,Fabio Fognini,Total,50,14,34,21,2,1,1,0,0,20120729,M,Olympics,R64
25958,20160619-M-Fergana_CH-F-Radu_Albot-Konstantin_Kravchuk,Radu Albot,Total,43,15,28,6,0,0,0,0,0,20160619,M,Fergana_CH,F
25976,20160619-M-Fergana_CH-F-Radu_Albot-Konstantin_Kravchuk,Konstantin Kravchuk,Total,30,5,25,12,0,0,0,0,0,20160619,M,Fergana_CH,F
25994,19910707-M-Wimbledon-F-Boris_Becker-Michael_Stich,Boris Becker,Total,58,21,25,0,12,7,3,2,0,19910707,M,Wimbledon,F
26012,19910707-M-Wimbledon-F-Boris_Becker-Michael_Stich,Michael Stich,Total,74,37,33,2,4,2,1,1,0,19910707,M,Wimbledon,F
26030,19860706-M-Wimbledon-F-Boris_Becker-Ivan_Lendl,Boris Becker,Total,47,17,28,2,2,1,1,0,0,19860706,M,Wimbledon,F
26048,19860706-M-Wimbledon-F-Boris_Becker-Ivan_Lendl,Ivan Lendl,Total,55,33,19,0,3,2,1,0,0,19860706,M,Wimbledon,F
26066,19870705-M-Wimbledon-F-Pat_Cash-Ivan_Lendl,Pat Cash,Total,94,67,23,2,4,3,1,0,0,19870705,M,Wimbledon,F
26084,19870705-M-Wimbledon-F-Pat_Cash-Ivan_Lendl,Ivan Lendl,Total,50,19,20,0,11,2,2,7,0,19870705,M,Wimbledon,F
26102,20020609-M-Roland_Garros-F-Albert_Costa-Juan_Carlos_Ferrero,Albert Costa,Total,88,16,67,12,5,0,3,1,1,20020609,M,Roland_Garros,F
26120,20020609-M-Roland_Garros-F-Albert_Costa-Juan_Carlos_Ferrero,Juan Carlos Ferrero,Total,83,19,60,8,4,0,4,0,0,20020609,M,Roland_Garros,F
26138,20120812-M-Finland_F1-F-Milos_Sekulic-Vladimir_Ivanov,Milos Sekulic,Total,37,12,25,12,0,0,0,0,0,20120812,M,Finland_F1,F
26156,20120812-M-Finland_F1-F-Milos_Sekulic-Vladimir_Ivanov,Vladimir Ivanov,Total,37,9,27,14,1,1,0,0,0,20120812,M,Finland_F1,F
