,match_id,player,row,returnable,shallow,deep,very_deep,unforced,err_net,err_deep,err_wide,err_wide_deep,tourney_date,sm,tourney_name,sm2
75142,20091011-M-Tokyo-F-Jo_Wilfried_Tsonga-Mikhail_Youzhny,Jo Wilfried Tsonga,Total,40,9,29,1,2,0,1,0,1,20091011,M,Tokyo,F
75160,20091011-M-Tokyo-F-Jo_Wilfried_Tsonga-Mikhail_Youzhny,Mikhail Youzhny,Total,35,11,23,0,1,1,0,0,0,20091011,M,Tokyo,F
75178,20210316-M-Dubai-R32-Denis_Shapovalov-Jan_Lennard_Struff,Denis Shapovalov,Total,29,0,0,0,1,1,0,0,0,20210316,M,Dubai,R32
75196,20210316-M-Dubai-R32-Denis_Shapovalov-Jan_Lennard_Struff,Jan Lennard Struff,Total,27,0,0,0,3,0,1,2,0,20210316,M,Dubai,R32
75214,20210504-M-Madrid_Masters-R32-Dominic_Thiem-Marcos_Giron,Dominic Thiem,Total,38,0,0,0,0,0,0,0,0,20210504,M,Madrid_Masters,R32
75232,20210504-M-Madrid_Masters-R32-Dominic_Thiem-Marcos_Giron,Marcos Giron,Total,28,0,0,0,2,0,1,1,0,20210504,M,Madrid_Masters,R32
75250,20130804-M-Washington-F-John_Isner-Juan_Martin_Del_Potro,John Isner,Total,45,13,29,2,3,1,1,1,0,20130804,M,Washington,F
75268,20130804-M-Washington-F-John_Isner-Juan_Martin_Del_Potro,Juan Martin Del Potro,Total,40,14,25,3,1,0,1,0,0,20130804,M,Washington,F
75286,20140609-M-Halle-R32-Michal_Przysiezny-Peter_Gojowczyk,Michal Przysiezny,Total,29,4,24,11,1,0,0,1,0,20140609,M,Halle,R32
75304,20140609-M-Halle-R32-Michal_Przysiezny-Peter_Gojowczyk,Peter Gojowczyk,Total,33,3,30,8,0,0,0,0,0,20140609,M,Halle,R32
75322,20210506-M-Madrid_Masters-R32-Rafael_Nadal-Carlos_Alcaraz,Rafael Nadal,Total,32,4,25,9,3,0,1,2,0,20210506,M,Madrid_Masters,R32
75339,20210506-M-Madrid_Masters-R32-Rafael_Nadal-Carlos_Alcaraz,Carlos Alcaraz,Total,34,9,24,10,1,1,0,0,0,20210506,M,Madrid_Masters,R32
75357,20210503-M-Madrid_Masters-R64-John_Isner-Miomir_Kecmanovic,John Isner,Total,41,0,0,0,5,4,1,0,0,20210503,M,Madrid_Masters,R64
75375,20210503-M-Madrid_Masters-R64-John_Isner-Miomir_Kecmanovic,Miomir Kecmanovic,Total,30,0,0,0,0,0,0,0,0,20210503,M,Madrid_Masters,R64
75392,20210506-M-Madrid_Masters-R16-Dominic_Thiem-Alex_De_Minaur,Dominic Thiem,Total,55,19,36,19,1,0,1,0,0,20210506,M,Madrid_Masters,R16
75410,20210506-M-Madrid_Masters-R16-Dominic_Thiem-Alex_De_Minaur,Alex De Minaur,Total,54,6,46,25,1,0,1,0,0,20210506,M,Madrid_Masters,R16
75428,20210507-M-Madrid_Masters-QF-Rafael_Nadal-Alexander_Zverev,Rafael Nadal,Total,36,17,17,7,0,0,0,0,0,20210507,M,Madrid_Masters,QF
75446,20210507-M-Madrid_Masters-QF-Rafael_Nadal-Alexander_Zverev,Alexander Zverev,Total,51,12,34,7,3,0,3,0,0,20210507,M,Madrid_Masters,QF
75464,20210508-M-Madrid_Masters-SF-Casper_Ruud-Matteo_Berrettini,Casper Ruud,Total,32,6,24,1,2,0,1,1,0,20210508,M,Madrid_Masters,SF
75481,20210508-M-Madrid_Masters-SF-Casper_Ruud-Matteo_Berrettini,Matteo Berrettini,Total,48,8,37,4,2,0,2,0,0,20210508,M,Madrid_Masters,SF
75499,20210509-M-Madrid_Masters-F-Alexander_Zverev-Matteo_Berrettini,Alexander Zverev,Total,87,19,68,7,0,0,0,0,0,20210509,M,Madrid_Masters,F
75517,20210509-M-Madrid_Masters-F-Alexander_Zverev-Matteo_Berrettini,Matteo Berrettini,Total,60,10,50,3,0,0,0,0,0,20210509,M,Madrid_Masters,F
75535,20210505-M-Madrid_Masters-R32-John_Isner-Roberto_Bautista_Agut,John Isner,Total,96,0,0,0,10,1,6,3,0,20210505,M,Madrid_Masters,R32
75553,20210505-M-Madrid_Masters-R32-John_Isner-Roberto_Bautista_Agut,Roberto Bautista Agut,Total,46,0,0,0,0,0,0,0,0,20210505,M,Madrid_Masters,R32
75571,20210507-M-Madrid_Masters-QF-Casper_Ruud-Alexander_Bublik,Casper Ruud,Total,40,6,28,8,0,0,0,0,0,20210507,M,Madrid_Masters,QF
75589,20210507-M-Madrid_Masters-QF-Casper_Ruud-Alexander_Bublik,Alexander Bublik,Total,38,8,25,15,6,3,2,1,0,20210507,M,Madrid_Masters,QF
