,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,w_return_depth_very_deep,w_return_depth_shallow,w_return_depth_deep,w_return_depth_err_net,w_return_depth_err_deep,w_return_depth_err_wide,w_return_depth_wide_deep,w_shot_Direction_crosscourt,w_shot_Direction_down_middle,w_shot_Direction_down_the_line,w_shot_Direction_inside_out,w_shot_Direction_inside_in,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,l_return_depth_very_deep,l_return_depth_shallow,l_return_depth_deep,l_return_depth_err_net,l_return_depth_err_deep,l_return_depth_err_wide,l_return_depth_wide_deep,l_shot_Direction_crosscourt,l_shot_Direction_down_middle,l_shot_Direction_down_the_line,l_shot_Direction_inside_out,l_shot_Direction_inside_in,label
172,1390,42897.0,2019-0424,New York,Hard,32.0,A,20190211.0,299.0,124187.0,,,Reilly Opelka,R,211.0,USA,21.4,104545.0,1.0,,John Isner,R,206.0,USA,33.7,6-7(8) 7-6(14) 7-6(4),3.0,SF,151.0,43.0,1.0,116.0,87.0,79.0,22.0,18.0,1.0,1.0,38.0,1.0,125.0,110.0,92.0,9.0,18.0,2.0,2.0,89.0,633.0,9.0,3155.0,20190216-M-New_York-SF-John_Isner-Reilly_Opelka,17.0,9.0,9.0,5.0,125.0,24.0,17.0,11.0,33.0,1.0,0.0,1.0,0.0,43.0,25.0,15.0,25.0,0.0,15.0,0.0,17.0,6.0,116.0,15.0,13.0,9.0,31.0,3.0,0.0,1.0,0.0,33,38,12,21,1,0.0
173,1392,43018.0,2019-6932,Rio de Janeiro,Clay,32.0,A,20190218.0,294.0,200000.0,,WC,Felix Auger Aliassime,R,193.0,CAN,18.5,144719.0,,,Jaume Munar,R,183.0,ESP,21.7,6-4 6-3,3.0,QF,98.0,1.0,3.0,61.0,41.0,26.0,8.0,9.0,2.0,5.0,0.0,1.0,64.0,35.0,19.0,12.0,10.0,4.0,10.0,104.0,540.0,66.0,746.0,20190222-M-Rio_de_Janeiro-QF-Jaume_Munar-Felix_Auger_Aliassime,19.0,5.0,19.0,10.0,64.0,33.0,14.0,10.0,36.0,2.0,1.0,0.0,0.0,67.0,21.0,14.0,37.0,8.0,4.0,1.0,8.0,7.0,61.0,27.0,14.0,10.0,34.0,1.0,0.0,0.0,0.0,63,35,10,13,2,0.0
174,1399,43106.0,2019-0533,Sao Paulo,Clay,32.0,A,20190225.0,299.0,106426.0,,,Cristian Garin,R,185.0,CHI,22.7,134770.0,,,Casper Ruud,R,183.0,NOR,20.1,6-4 6-4,3.0,SF,79.0,1.0,3.0,57.0,31.0,23.0,16.0,10.0,2.0,3.0,5.0,0.0,57.0,34.0,24.0,11.0,10.0,3.0,6.0,92.0,620.0,108.0,527.0,20190302-M-Sao_Paulo-SF-Casper_Ruud-Cristian_Garin,10.0,7.0,7.0,13.0,57.0,22.0,18.0,9.0,26.0,0.0,1.0,1.0,0.0,68.0,25.0,21.0,19.0,4.0,7.0,1.0,14.0,9.0,57.0,18.0,14.0,5.0,34.0,1.0,3.0,0.0,0.0,74,18,11,18,4,0.0
175,1405,43222.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,183.0,103852.0,,,Feliciano Lopez,L,188.0,ESP,37.4,104607.0,,,Tomas Berdych,R,196.0,CZE,33.4,7-6(3) 7-6(2),3.0,R128,117.0,15.0,2.0,98.0,57.0,46.0,20.0,12.0,4.0,4.0,4.0,4.0,82.0,54.0,43.0,13.0,12.0,0.0,0.0,78.0,700.0,81.0,685.0,20190308-M-Indian_Wells_Masters-R128-Tomas_Berdych-Feliciano_Lopez,13.0,1.0,18.0,8.0,82.0,26.0,21.0,10.0,51.0,0.0,0.0,0.0,0.0,69.0,45.0,34.0,24.0,3.0,13.0,10.0,12.0,12.0,98.0,32.0,14.0,19.0,37.0,1.0,0.0,0.0,0.0,76,30,34,38,3,0.0
176,1406,43213.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,200.0,105449.0,,,Steve Johnson,R,188.0,USA,29.1,126203.0,,,Taylor Fritz,R,193.0,USA,21.3,6-3 6-3,3.0,R128,59.0,3.0,0.0,44.0,23.0,22.0,12.0,9.0,1.0,2.0,3.0,3.0,48.0,32.0,20.0,7.0,9.0,4.0,8.0,38.0,1170.0,46.0,970.0,20190308-M-Indian_Wells_Masters-R128-Taylor_Fritz-Steve_Johnson,9.0,3.0,2.0,6.0,48.0,21.0,7.0,7.0,29.0,0.0,0.0,0.0,0.0,62.0,24.0,6.0,17.0,6.0,10.0,3.0,8.0,7.0,44.0,10.0,7.0,11.0,18.0,1.0,0.0,0.0,0.0,74,21,9,20,0,0.0
177,1410,43048.0,2019-M004,Acapulco,Hard,32.0,A,20190225.0,295.0,111815.0,,,Cameron Norrie,L,188.0,GBR,23.5,111456.0,,SE,Mackenzie Mcdonald,R,178.0,USA,23.8,6-3 6-2,3.0,QF,83.0,4.0,4.0,63.0,42.0,34.0,8.0,8.0,4.0,4.0,1.0,3.0,72.0,50.0,27.0,10.0,9.0,4.0,8.0,64.0,797.0,71.0,753.0,20190228-M-Acapulco-QF-Mackenzie_Mcdonald-Cameron_Norrie,13.0,3.0,9.0,11.0,72.0,35.0,14.0,16.0,36.0,1.0,1.0,0.0,0.0,64.0,52.0,24.0,15.0,2.0,9.0,3.0,19.0,13.0,63.0,21.0,11.0,12.0,30.0,0.0,1.0,0.0,0.0,70,36,26,21,3,0.0
178,1413,43183.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,249.0,105430.0,,Q,Radu Albot,R,175.0,MDA,29.3,104926.0,16.0,,Fabio Fognini,R,178.0,ITA,31.7,6-0 7-6(4),3.0,R64,86.0,4.0,1.0,57.0,31.0,24.0,16.0,9.0,3.0,5.0,0.0,2.0,61.0,31.0,18.0,13.0,9.0,4.0,9.0,53.0,920.0,17.0,1885.0,20190310-M-Indian_Wells_Masters-R64-Fabio_Fognini-Radu_Albot,12.0,2.0,13.0,11.0,61.0,30.0,16.0,14.0,40.0,0.0,0.0,0.0,1.0,86.0,53.0,25.0,31.0,7.0,8.0,2.0,17.0,17.0,57.0,17.0,11.0,9.0,34.0,0.0,1.0,1.0,0.0,88,51,30,28,8,0.0
179,1417,43165.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,267.0,104792.0,18.0,,Gael Monfils,R,193.0,FRA,32.5,104919.0,,,Leonardo Mayer,R,188.0,ARG,31.8,6-4 3-6 6-3,3.0,R64,119.0,5.0,4.0,83.0,58.0,41.0,13.0,14.0,3.0,6.0,2.0,8.0,91.0,49.0,37.0,17.0,14.0,4.0,8.0,19.0,1740.0,56.0,895.0,20190309-M-Indian_Wells_Masters-R64-Leonardo_Mayer-Gael_Monfils,18.0,4.0,18.0,10.0,91.0,37.0,10.0,16.0,36.0,2.0,4.0,0.0,0.0,80.0,86.0,13.0,39.0,2.0,13.0,4.0,21.0,12.0,83.0,29.0,16.0,17.0,42.0,1.0,0.0,0.0,0.0,84,72,12,40,1,0.0
180,1423,43147.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,285.0,104259.0,,,Philipp Kohlschreiber,R,178.0,GER,35.3,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,31.7,6-4 6-4,3.0,R32,98.0,3.0,1.0,67.0,48.0,33.0,10.0,10.0,4.0,5.0,2.0,3.0,56.0,37.0,25.0,8.0,10.0,1.0,4.0,39.0,1160.0,1.0,10955.0,20190311-M-Indian_Wells_Masters-R32-Novak_Djokovic-Philipp_Kohlschreiber,10.0,3.0,14.0,9.0,56.0,23.0,18.0,6.0,34.0,1.0,0.0,0.0,0.0,104.0,93.0,15.0,41.0,6.0,7.0,6.0,20.0,8.0,67.0,24.0,19.0,10.0,44.0,0.0,0.0,0.0,0.0,109,85,12,38,7,0.0
181,1438,43132.0,2019-M006,Indian Wells Masters,Hard,128.0,M,20190304.0,300.0,106233.0,7.0,,Dominic Thiem,R,185.0,AUT,25.4,103819.0,4.0,,Roger Federer,R,185.0,SUI,37.5,3-6 6-3 7-5,3.0,F,122.0,1.0,3.0,97.0,67.0,47.0,18.0,15.0,9.0,11.0,3.0,2.0,84.0,59.0,42.0,12.0,15.0,1.0,4.0,8.0,3800.0,4.0,4600.0,20190317-M-Indian_Wells_Masters-F-Roger_Federer-Dominic_Thiem,16.0,6.0,14.0,16.0,84.0,30.0,15.0,11.0,41.0,1.0,1.0,1.0,0.0,77.0,73.0,15.0,61.0,6.0,13.0,7.0,15.0,21.0,97.0,32.0,22.0,12.0,54.0,2.0,3.0,1.0,0.0,87,84,16,25,5,0.0
